"snid","timestamp [UNIX]","sntime","T_air [°C]","T_soil [°C]","H_air [%RH]","H_soil [%RH]","x_nt","x_vs","x_bat","x_art","x_rst","x_ic","x_adc","x_usart","fault"
"41B9FFDD",0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
"41B9FFDD",1,0,0,0,0,0,0,0,0.01,0,0,0,0.04,0,0
"41B9FFDD",2,0,1.1,0,-21.5,0,0,0,0.83,0,0,0,0,0,1
"41B9FFDD",3,0,4.2,0,-23.29,0,0,0,0.94,0,0,0,0,0,1
"41B9FFDD",4,0,6.23,0,-23.29,0,0,0,0.91,0,0,0,0.04,0,1
"41B9FFDD",5,0,4.33,0,-23.29,0,0,0,0.84,0,0,0,0.08,0,1
"41B9FFDD",6,0,2.297,0,-8.03,0,0,0,0.02,0,0,0,0.08,0,1
"41B9FFDD",7,0,1.4,0,0,0,0,0,0.02,0,0,0,0.04,0,0
"41B9FFDD",8,0,0.65,0,0,0,0,0,0.02,0,0,0,0,0,0
"41B9FFDD",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41B9FFDD",10,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0
"41B9FFDD",11,0,0,0,-33.94,0,0,0,0.84,0,0,0,0.04,0,1
"41B9FFDD",12,0,2.47,0,-33.09,0,0,0,0.92,0,0,0,0,0,1
"41B9FFDD",13,0,2.31,0,-34.5,0,0,0,0.89,0,0,0,0,0,1
"41B9FFDD",14,0,0.39,0,-34.7,0,0,0,0.84,0,0,0,0,0,1
"41B9FFDD",15,0,0,0,-1.7,0,0,0,0.02,0,0,0,0,0,0
"41B9FFDD",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
