"snid","timestamp [UNIX]","sntime","T_air [°C]","T_soil [°C]","H_air [%RH]","H_soil [%RH]","x_nt","x_vs","x_bat","x_art","x_rst","x_ic","x_adc","x_usart","fault"
"41BA26F1",0,0,0,0,0,0,0.03,0,0.01,0,0,0,0,0,0
"41BA26F1",1,0,0,0.62,0,0,0.03,0,0.01,0,0,0,0,0,0
"41BA26F1",2,0,0,-1.18,0,-26.59,1,1,0.4,0,0,0,0.2,0,1
"41BA26F1",3,0,0,-2.34,0,-28.5,0.74,0.8,0.42,0,0,0,0.2,0,1
"41BA26F1",4,0,0,-1.87,0,-20.82,0.59,0.6,0.39,0,0,0,0.16,0,1
"41BA26F1",5,0,0,-2.85,0,-17.06,0.45,0.5,0.34,0,0,0,0.12,0,1
"41BA26F1",6,0,0,-0.75,0,-22.031,0.32,0.42,0.29,0,0,0,0.12,0,1
"41BA26F1",7,0,0,-1.25,0,-16.875,0.06,0.4,0.2,0,0,0,0.08,0,1
"41BA26F1",8,0,0,0,0,0,0.03,0,0.14,0,0,0,0.04,0,0
"41BA26F1",9,0,0,0,0,0,0.03,0,0.02,0,0,0,0.04,0,0
"41BA26F1",10,0,0,0,0,0,0.03,0,0.04,0,0,0,0,0,0
"41BA26F1",11,0,0,0,0,0,0.03,0,0.05,0,0,0,0,0,0
"41BA26F1",12,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0
"41BA26F1",13,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0
"41BA26F1",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41BA26F1",15,0,0,-0.375,0,0,0.03,0,0,0,0,0,0,0,0
"41BA26F1",16,0,0,-0.375,0,0,0.03,0,0,0,0,0,0,0,0
"41BA26F1",17,0,0,-0.375,0,-8.375,0.56,0,0.23,0,0,0,0,0,1
"41BA26F1",18,0,0,-1.31,0,-12.688,0.63,0.2,0.13,0,0,0,0.08,0,1
"41BA26F1",19,0,0,-1.32,0,-11.016,0.36,0.17,0.14,0,0,0,0.04,0,1
"41BA26F1",20,0,0,-1.39,0,-9.344,0.38,0.18,0.13,0,0,0,0.04,0,1
"41BA26F1",21,0,0,0,0,-14.219,0.13,0.09,0.08,0,0,0,0.08,0,1
"41BA26F1",22,0,0,0,0,0,0,0.12,0.11,0,0,0,0.04,0,0
"41BA26F1",23,0,0,0,0,0,0.05,0,0.03,0,0,0,0,0,0
"41BA26F1",24,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0
"41BA26F1",25,0,0,0,0,0,0.03,0.1,0,0,0,0,0,0,0
"41BA26F1",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41BA26F1",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
