dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (ACC),accuracy (F-score)
total (60 datasets),mean,4025.67,37.78,3977.35,3.8,6.73,0.86,1.0,0.99,0.87
total (60 datasets),min,997,3,905,0,0,0.7,0.99,0.97,0.67
total (60 datasets),max,10078,77,10072,15,20,1,1,1.0,0.95
results/base_-_outdoor_-_heavy_rain-faulty-9-ddca.csv,-,1002,69,921,0,12,0.85,1,0.99,0.92
results/base_-_outdoor_-_heavy_rain-faulty-1-ddca.csv,-,1002,71,919,3,9,0.89,1.0,0.99,0.92
results/base_-_indoor_-_room_airing-faulty-15-ddca.csv,-,10078,47,10024,0,7,0.87,1,1.0,0.93
results/base_-_indoor_-_stable-faulty-6-ddca.csv,-,997,11,982,3,1,0.92,1.0,1.0,0.85
results/base_-_indoor_-_room_airing-faulty-16-ddca.csv,-,10078,38,10031,3,6,0.86,1.0,1.0,0.89
results/base_-_outdoor_-_heavy_rain-faulty-11-ddca.csv,-,1002,17,981,0,4,0.81,1,1.0,0.89
results/base_-_indoor_-_stable-faulty-7-ddca.csv,-,997,28,961,3,5,0.85,1.0,0.99,0.88
results/base_-_indoor_-_room_airing-faulty-1-ddca.csv,-,10078,50,10007,12,9,0.85,1.0,1.0,0.83
results/base_-_indoor_-_room_airing-faulty-12-ddca.csv,-,10078,31,10041,3,3,0.91,1.0,1.0,0.91
results/base_-_indoor_-_stable-faulty-11-ddca.csv,-,997,37,949,3,8,0.82,1.0,0.99,0.87
results/base_-_indoor_-_stable-faulty-16-ddca.csv,-,997,59,919,9,10,0.86,0.99,0.98,0.86
results/base_-_outdoor_-_heavy_rain-faulty-19-ddca.csv,-,1002,6,991,5,0,1,0.99,1.0,0.71
results/base_-_indoor_-_stable-faulty-3-ddca.csv,-,997,67,910,9,11,0.86,0.99,0.98,0.87
results/base_-_indoor_-_room_airing-faulty-5-ddca.csv,-,10078,7,10068,0,3,0.7,1,1.0,0.82
results/base_-_indoor_-_stable-faulty-8-ddca.csv,-,997,52,930,3,12,0.81,1.0,0.98,0.87
results/base_-_outdoor_-_heavy_rain-faulty-14-ddca.csv,-,1002,45,950,0,7,0.87,1,0.99,0.93
results/base_-_outdoor_-_heavy_rain-faulty-7-ddca.csv,-,1002,17,976,3,6,0.74,1.0,0.99,0.79
results/base_-_outdoor_-_heavy_rain-faulty-13-ddca.csv,-,1002,10,986,3,3,0.77,1.0,0.99,0.77
results/base_-_indoor_-_room_airing-faulty-17-ddca.csv,-,10078,25,10048,0,5,0.83,1,1.0,0.91
results/base_-_indoor_-_stable-faulty-14-ddca.csv,-,997,59,909,9,20,0.75,0.99,0.97,0.8
results/base_-_indoor_-_stable-faulty-15-ddca.csv,-,997,35,956,0,6,0.85,1,0.99,0.92
results/base_-_indoor_-_stable-faulty-5-ddca.csv,-,997,20,970,3,4,0.83,1.0,0.99,0.85
results/base_-_outdoor_-_heavy_rain-faulty-0-ddca.csv,-,1002,16,982,0,4,0.8,1,1.0,0.89
results/base_-_indoor_-_stable-faulty-17-ddca.csv,-,997,13,975,6,3,0.81,0.99,0.99,0.74
results/base_-_indoor_-_room_airing-faulty-18-ddca.csv,-,10078,60,10002,3,13,0.82,1.0,1.0,0.88
results/base_-_indoor_-_room_airing-faulty-4-ddca.csv,-,10078,50,10012,9,7,0.88,1.0,1.0,0.86
results/base_-_indoor_-_room_airing-faulty-10-ddca.csv,-,10078,10,10062,3,3,0.77,1.0,1.0,0.77
results/base_-_outdoor_-_heavy_rain-faulty-17-ddca.csv,-,1002,77,910,0,15,0.84,1,0.99,0.91
results/base_-_indoor_-_room_airing-faulty-0-ddca.csv,-,10078,54,10004,6,14,0.79,1.0,1.0,0.84
results/base_-_indoor_-_stable-faulty-10-ddca.csv,-,997,28,966,0,3,0.9,1,1.0,0.95
results/base_-_indoor_-_stable-faulty-9-ddca.csv,-,997,43,942,3,9,0.83,1.0,0.99,0.88
results/base_-_indoor_-_room_airing-faulty-7-ddca.csv,-,10078,62,9995,6,15,0.81,1.0,1.0,0.86
results/base_-_indoor_-_stable-faulty-12-ddca.csv,-,997,42,941,3,11,0.79,1.0,0.99,0.86
results/base_-_indoor_-_stable-faulty-0-ddca.csv,-,997,42,945,6,4,0.91,0.99,0.99,0.89
results/base_-_outdoor_-_heavy_rain-faulty-3-ddca.csv,-,1002,19,978,3,2,0.9,1.0,1.0,0.88
results/base_-_outdoor_-_heavy_rain-faulty-4-ddca.csv,-,1002,21,976,3,2,0.91,1.0,1.0,0.89
results/base_-_outdoor_-_heavy_rain-faulty-10-ddca.csv,-,1002,31,965,3,3,0.91,1.0,0.99,0.91
results/base_-_indoor_-_room_airing-faulty-9-ddca.csv,-,10078,40,10018,15,5,0.89,1.0,1.0,0.8
results/base_-_indoor_-_room_airing-faulty-13-ddca.csv,-,10078,54,10003,9,12,0.82,1.0,1.0,0.84
results/base_-_indoor_-_stable-faulty-18-ddca.csv,-,997,74,905,9,9,0.89,0.99,0.98,0.89
results/base_-_indoor_-_room_airing-faulty-11-ddca.csv,-,10078,8,10069,0,1,0.89,1,1.0,0.94
results/base_-_outdoor_-_heavy_rain-faulty-18-ddca.csv,-,1002,27,972,1,2,0.93,1.0,1.0,0.95
results/base_-_indoor_-_stable-faulty-4-ddca.csv,-,997,67,920,0,10,0.87,1,0.99,0.93
results/base_-_outdoor_-_heavy_rain-faulty-8-ddca.csv,-,1002,52,937,6,7,0.88,0.99,0.99,0.89
results/base_-_outdoor_-_heavy_rain-faulty-15-ddca.csv,-,1002,43,949,2,8,0.84,1.0,0.99,0.9
results/base_-_outdoor_-_heavy_rain-faulty-12-ddca.csv,-,1002,43,945,9,5,0.9,0.99,0.99,0.86
