dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (ACC),accuracy (F-score)
total (60 datasets),mean,4025.67,24.62,3974.68,6.47,19.9,0.56,1.0,0.98,0.64
total (60 datasets),min,997,2,899,0,1,0.2,0.98,0.93,0.33
total (60 datasets),max,10078,56,10072,18,56,0.79,1.0,1.0,0.82
results/base_-_indoor_-_stable-faulty-13-ddca_context.csv,-,997,36,915,4,42,0.46,1.0,0.95,0.61
results/base_-_indoor_-_stable-faulty-10-ddca_context.csv,-,997,21,963,3,10,0.68,1.0,0.99,0.76
results/base_-_outdoor_-_heavy_rain-faulty-18-ddca_context.csv,-,1002,23,969,4,6,0.79,1.0,0.99,0.82
results/base_-_indoor_-_room_airing-faulty-19-ddca_context.csv,-,10078,11,10050,4,13,0.46,1.0,1.0,0.56
results/base_-_indoor_-_stable-faulty-17-ddca_context.csv,-,997,6,975,6,10,0.38,0.99,0.98,0.43
results/base_-_indoor_-_room_airing-faulty-13-ddca_context.csv,-,10078,33,10000,12,33,0.5,1.0,1.0,0.59
results/base_-_outdoor_-_heavy_rain-faulty-3-ddca_context.csv,-,1002,16,976,5,5,0.76,0.99,0.99,0.76
results/base_-_outdoor_-_heavy_rain-faulty-8-ddca_context.csv,-,1002,32,934,9,27,0.54,0.99,0.96,0.64
results/base_-_indoor_-_stable-faulty-12-ddca_context.csv,-,997,22,939,5,31,0.42,0.99,0.96,0.55
results/base_-_indoor_-_room_airing-faulty-15-ddca_context.csv,-,10078,30,10020,4,24,0.56,1.0,1.0,0.68
results/base_-_outdoor_-_heavy_rain-faulty-13-ddca_context.csv,-,1002,6,986,3,7,0.46,1.0,0.99,0.55
results/base_-_indoor_-_stable-faulty-3-ddca_context.csv,-,997,46,905,14,32,0.59,0.98,0.95,0.67
results/base_-_outdoor_-_heavy_rain-faulty-1-ddca_context.csv,-,1002,56,912,10,24,0.7,0.99,0.97,0.77
results/base_-_indoor_-_stable-faulty-11-ddca_context.csv,-,997,20,947,5,25,0.44,0.99,0.97,0.57
results/base_-_outdoor_-_heavy_rain-faulty-6-ddca_context.csv,-,1002,47,913,18,24,0.66,0.98,0.96,0.69
results/base_-_indoor_-_room_airing-faulty-17-ddca_context.csv,-,10078,16,10046,2,14,0.53,1.0,1.0,0.67
results/base_-_outdoor_-_heavy_rain-faulty-16-ddca_context.csv,-,1002,14,980,2,6,0.7,1.0,0.99,0.78
results/base_-_indoor_-_room_airing-faulty-1-ddca_context.csv,-,10078,33,10004,15,26,0.56,1.0,1.0,0.62
results/base_-_indoor_-_room_airing-faulty-11-ddca_context.csv,-,10078,7,10068,1,2,0.78,1.0,1.0,0.82
results/base_-_indoor_-_stable-faulty-6-ddca_context.csv,-,997,9,981,4,3,0.75,1.0,0.99,0.72
results/base_-_indoor_-_stable-faulty-5-ddca_context.csv,-,997,11,969,4,13,0.46,1.0,0.98,0.56
results/base_-_indoor_-_stable-faulty-2-ddca_context.csv,-,997,18,955,2,22,0.45,1.0,0.98,0.6
results/base_-_indoor_-_room_airing-faulty-3-ddca_context.csv,-,10078,7,10068,1,2,0.78,1.0,1.0,0.82
results/base_-_indoor_-_stable-faulty-15-ddca_context.csv,-,997,23,953,3,18,0.56,1.0,0.98,0.69
results/base_-_indoor_-_stable-faulty-8-ddca_context.csv,-,997,29,927,6,35,0.45,0.99,0.96,0.59
results/base_-_outdoor_-_heavy_rain-faulty-11-ddca_context.csv,-,1002,9,980,1,12,0.43,1.0,0.99,0.58
results/base_-_outdoor_-_heavy_rain-faulty-5-ddca_context.csv,-,1002,2,995,4,1,0.67,1.0,1.0,0.44
results/base_-_indoor_-_stable-faulty-19-ddca_context.csv,-,997,30,941,9,17,0.64,0.99,0.97,0.7
results/base_-_indoor_-_room_airing-faulty-9-ddca_context.csv,-,10078,26,10016,17,19,0.58,1.0,1.0,0.59
results/base_-_indoor_-_stable-faulty-0-ddca_context.csv,-,997,32,941,10,14,0.7,0.99,0.98,0.73
results/base_-_outdoor_-_heavy_rain-faulty-12-ddca_context.csv,-,1002,34,942,12,14,0.71,0.99,0.97,0.72
results/base_-_indoor_-_stable-faulty-4-ddca_context.csv,-,997,51,913,7,26,0.66,0.99,0.97,0.76
results/base_-_indoor_-_room_airing-faulty-10-ddca_context.csv,-,10078,4,10062,3,9,0.31,1.0,1.0,0.4
results/base_-_indoor_-_room_airing-faulty-8-ddca_context.csv,-,10078,32,10014,4,28,0.53,1.0,1.0,0.67
results/base_-_outdoor_-_heavy_rain-faulty-14-ddca_context.csv,-,1002,30,947,3,22,0.58,1.0,0.98,0.71
results/base_-_outdoor_-_heavy_rain-faulty-10-ddca_context.csv,-,1002,23,962,6,11,0.68,0.99,0.98,0.73
results/base_-_indoor_-_room_airing-faulty-18-ddca_context.csv,-,10078,36,9998,7,37,0.49,1.0,1.0,0.62
results/base_-_indoor_-_room_airing-faulty-2-ddca_context.csv,-,10078,2,10072,3,1,0.67,1.0,1.0,0.5
results/base_-_outdoor_-_heavy_rain-faulty-4-ddca_context.csv,-,1002,18,974,5,5,0.78,0.99,0.99,0.78
results/base_-_indoor_-_room_airing-faulty-7-ddca_context.csv,-,10078,33,9992,9,44,0.43,1.0,0.99,0.55
results/base_-_indoor_-_room_airing-faulty-12-ddca_context.csv,-,10078,23,10038,6,11,0.68,1.0,1.0,0.73
results/base_-_indoor_-_room_airing-faulty-14-ddca_context.csv,-,10078,14,10058,2,4,0.78,1.0,1.0,0.82
results/base_-_indoor_-_room_airing-faulty-0-ddca_context.csv,-,10078,26,10002,8,42,0.38,1.0,1.0,0.51
results/base_-_indoor_-_stable-faulty-14-ddca_context.csv,-,997,23,909,9,56,0.29,0.99,0.93,0.41
results/base_-_outdoor_-_heavy_rain-faulty-17-ddca_context.csv,-,1002,50,904,6,42,0.54,0.99,0.95,0.68
results/base_-_outdoor_-_heavy_rain-faulty-15-ddca_context.csv,-,1002,28,946,5,23,0.55,0.99,0.97,0.67
results/base_-_outdoor_-_heavy_rain-faulty-9-ddca_context.csv,-,1002,46,916,5,35,0.57,0.99,0.96,0.7
results/base_-_indoor_-_room_airing-faulty-4-ddca_context.csv,-,10078,36,10008,13,21,0.63,1.0,1.0,0.68
results/base_-_outdoor_-_heavy_rain-faulty-2-ddca_context.csv,-,1002,29,927,9,37,0.44,0.99,0.95,0.56
results/base_-_indoor_-_stable-faulty-1-ddca_context.csv,-,997,45,923,9,20,0.69,0.99,0.97,0.76
results/base_-_outdoor_-_heavy_rain-faulty-19-ddca_context.csv,-,1002,4,990,6,2,0.67,0.99,0.99,0.5
results/base_-_indoor_-_stable-faulty-18-ddca_context.csv,-,997,52,899,15,31,0.63,0.98,0.95,0.69
results/base_-_outdoor_-_heavy_rain-faulty-7-ddca_context.csv,-,1002,7,976,3,16,0.3,1.0,0.98,0.42
results/base_-_indoor_-_room_airing-faulty-5-ddca_context.csv,-,10078,2,10068,0,8,0.2,1,1.0,0.33
results/base_-_outdoor_-_heavy_rain-faulty-0-ddca_context.csv,-,1002,10,982,0,10,0.5,1,0.99,0.67
results/base_-_indoor_-_room_airing-faulty-6-ddca_context.csv,-,10078,40,9990,16,32,0.56,1.0,1.0,0.62
results/base_-_indoor_-_stable-faulty-16-ddca_context.csv,-,997,38,915,13,31,0.55,0.99,0.96,0.63
results/base_-_indoor_-_stable-faulty-7-ddca_context.csv,-,997,18,959,5,15,0.55,0.99,0.98,0.64
results/base_-_indoor_-_room_airing-faulty-16-ddca_context.csv,-,10078,25,10028,6,19,0.57,1.0,1.0,0.67
results/base_-_indoor_-_stable-faulty-9-ddca_context.csv,-,997,27,939,6,25,0.52,0.99,0.97,0.64
