dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (ACC),accuracy (F-score)
total (60 datasets),mean,4025.67,30.0,3978.58,2.57,14.52,0.68,1.0,0.99,0.77
total (60 datasets),min,997,2,908,0,1,0.5,0.99,0.96,0.57
total (60 datasets),max,10078,62,10073,10,37,0.83,1.0,1.0,0.88
results/base_-_outdoor_-_heavy_rain-faulty-3-ddca_weight.csv,-,1002,16,979,2,5,0.76,1.0,0.99,0.82
results/base_-_indoor_-_room_airing-faulty-16-ddca_weight.csv,-,10078,30,10032,2,14,0.68,1.0,1.0,0.79
results/base_-_indoor_-_room_airing-faulty-19-ddca_weight.csv,-,10078,15,10052,2,9,0.62,1.0,1.0,0.73
results/base_-_indoor_-_stable-faulty-12-ddca_weight.csv,-,997,32,942,2,21,0.6,1.0,0.98,0.74
results/base_-_indoor_-_stable-faulty-7-ddca_weight.csv,-,997,22,962,2,11,0.67,1.0,0.99,0.77
results/base_-_indoor_-_stable-faulty-19-ddca_weight.csv,-,997,33,946,4,14,0.7,1.0,0.98,0.79
results/base_-_outdoor_-_heavy_rain-faulty-9-ddca_weight.csv,-,1002,58,921,0,23,0.72,1,0.98,0.83
results/base_-_indoor_-_stable-faulty-13-ddca_weight.csv,-,997,49,919,0,29,0.63,1,0.97,0.77
results/base_-_outdoor_-_heavy_rain-faulty-0-ddca_weight.csv,-,1002,13,982,0,7,0.65,1,0.99,0.79
results/base_-_outdoor_-_heavy_rain-faulty-16-ddca_weight.csv,-,1002,15,982,0,5,0.75,1,1.0,0.86
results/base_-_indoor_-_stable-faulty-6-ddca_weight.csv,-,997,9,983,2,3,0.75,1.0,0.99,0.78
results/base_-_outdoor_-_heavy_rain-faulty-13-ddca_weight.csv,-,1002,7,987,2,6,0.54,1.0,0.99,0.64
results/base_-_outdoor_-_heavy_rain-faulty-6-ddca_weight.csv,-,1002,54,922,9,17,0.76,0.99,0.97,0.81
results/base_-_indoor_-_room_airing-faulty-0-ddca_weight.csv,-,10078,40,10006,4,28,0.59,1.0,1.0,0.71
results/base_-_indoor_-_stable-faulty-17-ddca_weight.csv,-,997,9,977,4,7,0.56,1.0,0.99,0.62
results/base_-_indoor_-_room_airing-faulty-10-ddca_weight.csv,-,10078,7,10063,2,6,0.54,1.0,1.0,0.64
results/base_-_indoor_-_room_airing-faulty-7-ddca_weight.csv,-,10078,47,9997,4,30,0.61,1.0,1.0,0.73
results/base_-_indoor_-_room_airing-faulty-11-ddca_weight.csv,-,10078,7,10069,0,2,0.78,1,1.0,0.88
results/base_-_indoor_-_room_airing-faulty-2-ddca_weight.csv,-,10078,2,10073,2,1,0.67,1.0,1.0,0.57
results/base_-_indoor_-_stable-faulty-11-ddca_weight.csv,-,997,29,950,2,16,0.64,1.0,0.98,0.76
results/base_-_outdoor_-_heavy_rain-faulty-11-ddca_weight.csv,-,1002,13,981,0,8,0.62,1,0.99,0.76
results/base_-_indoor_-_stable-faulty-4-ddca_weight.csv,-,997,56,920,0,21,0.73,1,0.98,0.84
results/base_-_outdoor_-_heavy_rain-faulty-17-ddca_weight.csv,-,1002,62,910,0,30,0.67,1,0.97,0.81
results/base_-_outdoor_-_heavy_rain-faulty-10-ddca_weight.csv,-,1002,25,966,2,9,0.74,1.0,0.99,0.82
results/base_-_indoor_-_stable-faulty-3-ddca_weight.csv,-,997,54,913,6,24,0.69,0.99,0.97,0.78
results/base_-_outdoor_-_heavy_rain-faulty-7-ddca_weight.csv,-,1002,12,977,2,11,0.52,1.0,0.99,0.65
results/base_-_indoor_-_room_airing-faulty-18-ddca_weight.csv,-,10078,47,10003,2,26,0.64,1.0,1.0,0.77
results/base_-_indoor_-_stable-faulty-18-ddca_weight.csv,-,997,58,908,6,25,0.7,0.99,0.97,0.79
results/base_-_indoor_-_stable-faulty-0-ddca_weight.csv,-,997,34,947,4,12,0.74,1.0,0.98,0.81
results/base_-_indoor_-_stable-faulty-15-ddca_weight.csv,-,997,28,956,0,13,0.68,1,0.99,0.81
results/base_-_indoor_-_stable-faulty-9-ddca_weight.csv,-,997,34,943,2,18,0.65,1.0,0.98,0.77
results/base_-_outdoor_-_heavy_rain-faulty-18-ddca_weight.csv,-,1002,23,972,1,6,0.79,1.0,0.99,0.87
results/base_-_indoor_-_room_airing-faulty-3-ddca_weight.csv,-,10078,7,10069,0,2,0.78,1,1.0,0.88
results/base_-_outdoor_-_heavy_rain-faulty-8-ddca_weight.csv,-,1002,41,939,4,18,0.69,1.0,0.98,0.79
results/base_-_indoor_-_room_airing-faulty-14-ddca_weight.csv,-,10078,14,10060,0,4,0.78,1,1.0,0.88
results/base_-_outdoor_-_heavy_rain-faulty-1-ddca_weight.csv,-,1002,60,920,2,20,0.75,1.0,0.98,0.85
results/base_-_indoor_-_stable-faulty-5-ddca_weight.csv,-,997,15,971,2,9,0.62,1.0,0.99,0.73
results/base_-_indoor_-_room_airing-faulty-5-ddca_weight.csv,-,10078,5,10068,0,5,0.5,1,1.0,0.67
results/base_-_indoor_-_room_airing-faulty-15-ddca_weight.csv,-,10078,37,10024,0,17,0.69,1,1.0,0.81
results/base_-_indoor_-_stable-faulty-8-ddca_weight.csv,-,997,40,931,2,24,0.62,1.0,0.97,0.75
results/base_-_indoor_-_room_airing-faulty-4-ddca_weight.csv,-,10078,40,10015,6,17,0.7,1.0,1.0,0.78
results/base_-_indoor_-_stable-faulty-14-ddca_weight.csv,-,997,42,912,6,37,0.53,0.99,0.96,0.66
results/base_-_outdoor_-_heavy_rain-faulty-15-ddca_weight.csv,-,1002,34,949,2,17,0.67,1.0,0.98,0.78
results/base_-_indoor_-_room_airing-faulty-9-ddca_weight.csv,-,10078,30,10023,10,15,0.67,1.0,1.0,0.71
results/base_-_indoor_-_stable-faulty-10-ddca_weight.csv,-,997,23,966,0,8,0.74,1,0.99,0.85
results/base_-_indoor_-_room_airing-faulty-6-ddca_weight.csv,-,10078,48,9998,8,24,0.67,1.0,1.0,0.75
results/base_-_indoor_-_stable-faulty-2-ddca_weight.csv,-,997,25,957,0,15,0.62,1,0.98,0.77
results/base_-_indoor_-_room_airing-faulty-1-ddca_weight.csv,-,10078,39,10011,8,20,0.66,1.0,1.0,0.74
results/base_-_indoor_-_room_airing-faulty-13-ddca_weight.csv,-,10078,42,10006,6,24,0.64,1.0,1.0,0.74
results/base_-_indoor_-_stable-faulty-16-ddca_weight.csv,-,997,46,922,6,23,0.67,0.99,0.97,0.76
results/base_-_outdoor_-_heavy_rain-faulty-5-ddca_weight.csv,-,1002,2,997,2,1,0.67,1.0,1.0,0.57
results/base_-_indoor_-_room_airing-faulty-17-ddca_weight.csv,-,10078,20,10048,0,10,0.67,1,1.0,0.8
results/base_-_outdoor_-_heavy_rain-faulty-4-ddca_weight.csv,-,1002,18,977,2,5,0.78,1.0,0.99,0.84
results/base_-_indoor_-_stable-faulty-1-ddca_weight.csv,-,997,50,930,2,15,0.77,1.0,0.98,0.85
results/base_-_indoor_-_room_airing-faulty-8-ddca_weight.csv,-,10078,40,10018,0,20,0.67,1,1.0,0.8
results/base_-_outdoor_-_heavy_rain-faulty-2-ddca_weight.csv,-,1002,40,932,4,26,0.61,1.0,0.97,0.73
results/base_-_indoor_-_room_airing-faulty-12-ddca_weight.csv,-,10078,25,10042,2,9,0.74,1.0,1.0,0.82
results/base_-_outdoor_-_heavy_rain-faulty-12-ddca_weight.csv,-,1002,36,948,6,12,0.75,0.99,0.98,0.8
results/base_-_outdoor_-_heavy_rain-faulty-19-ddca_weight.csv,-,1002,5,992,4,1,0.83,1.0,1.0,0.67
results/base_-_outdoor_-_heavy_rain-faulty-14-ddca_weight.csv,-,1002,36,950,0,16,0.69,1,0.98,0.82
