dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (ACC),accuracy (F-score)
total (60 datasets),mean,4025.67,23.17,3227.65,753.5,21.35,0.53,0.86,0.85,0.18
total (60 datasets),min,997,0,772,37,0,0.0,0.78,0.78,0.0
total (60 datasets),max,10078,57,8253,2259,77,1,0.96,0.94,0.6
results/base_-_outdoor_-_heavy_rain-faulty-1-iforest.csv,-,1002,11,791,131,69,0.14,0.86,0.8,0.1
results/base_-_indoor_-_room_airing-faulty-4-iforest.csv,-,10078,29,8023,1998,28,0.51,0.8,0.8,0.03
results/base_-_indoor_-_room_airing-faulty-15-iforest.csv,-,10078,36,8027,1997,18,0.67,0.8,0.8,0.03
results/base_-_outdoor_-_heavy_rain-faulty-5-iforest.csv,-,1002,1,831,168,2,0.33,0.83,0.83,0.01
results/base_-_outdoor_-_heavy_rain-faulty-17-iforest.csv,-,1002,15,772,138,77,0.16,0.85,0.79,0.12
results/base_-_indoor_-_room_airing-faulty-17-iforest.csv,-,10078,18,8061,1987,12,0.6,0.8,0.8,0.02
results/base_-_indoor_-_stable-faulty-0-iforest.csv,-,997,24,860,91,22,0.52,0.9,0.89,0.3
results/base_-_indoor_-_stable-faulty-12-iforest.csv,-,997,33,895,49,20,0.62,0.95,0.93,0.49
results/base_-_indoor_-_room_airing-faulty-5-iforest.csv,-,10078,9,7809,2259,1,0.9,0.78,0.78,0.01
results/base_-_indoor_-_stable-faulty-4-iforest.csv,-,997,54,852,68,23,0.7,0.93,0.91,0.54
results/base_-_indoor_-_room_airing-faulty-6-iforest.csv,-,10078,57,8195,1811,15,0.79,0.82,0.82,0.06
results/base_-_indoor_-_room_airing-faulty-3-iforest.csv,-,10078,5,7995,2074,4,0.56,0.79,0.79,0.0
results/base_-_indoor_-_stable-faulty-6-iforest.csv,-,997,9,894,91,3,0.75,0.91,0.91,0.16
results/base_-_indoor_-_stable-faulty-2-iforest.csv,-,997,24,891,66,16,0.6,0.93,0.92,0.37
results/base_-_indoor_-_stable-faulty-17-iforest.csv,-,997,10,909,72,6,0.62,0.93,0.92,0.2
results/base_-_outdoor_-_heavy_rain-faulty-14-iforest.csv,-,1002,20,823,127,32,0.38,0.87,0.84,0.2
results/base_-_outdoor_-_heavy_rain-faulty-2-iforest.csv,-,1002,14,795,141,52,0.21,0.85,0.81,0.13
results/base_-_indoor_-_room_airing-faulty-2-iforest.csv,-,10078,3,7889,2186,0,1,0.78,0.78,0.0
results/base_-_indoor_-_stable-faulty-18-iforest.csv,-,997,52,864,50,31,0.63,0.95,0.92,0.56
results/base_-_outdoor_-_heavy_rain-faulty-8-iforest.csv,-,1002,18,805,138,41,0.31,0.85,0.82,0.17
results/base_-_outdoor_-_heavy_rain-faulty-16-iforest.csv,-,1002,0,820,162,20,0.0,0.84,0.82,0.0
results/base_-_outdoor_-_heavy_rain-faulty-9-iforest.csv,-,1002,28,790,131,53,0.35,0.86,0.82,0.23
results/base_-_indoor_-_room_airing-faulty-1-iforest.csv,-,10078,48,7946,2073,11,0.81,0.79,0.79,0.04
results/base_-_outdoor_-_heavy_rain-faulty-7-iforest.csv,-,1002,9,817,162,14,0.39,0.83,0.82,0.09
results/base_-_indoor_-_stable-faulty-14-iforest.csv,-,997,28,877,41,51,0.35,0.96,0.91,0.38
results/base_-_indoor_-_stable-faulty-10-iforest.csv,-,997,24,918,48,7,0.77,0.95,0.94,0.47
results/base_-_outdoor_-_heavy_rain-faulty-6-iforest.csv,-,1002,10,802,129,61,0.14,0.86,0.81,0.1
results/base_-_indoor_-_room_airing-faulty-7-iforest.csv,-,10078,39,8253,1748,38,0.51,0.83,0.82,0.04
results/base_-_indoor_-_stable-faulty-19-iforest.csv,-,997,34,889,61,13,0.72,0.94,0.93,0.48
results/base_-_outdoor_-_heavy_rain-faulty-18-iforest.csv,-,1002,15,811,162,14,0.52,0.83,0.82,0.15
results/base_-_indoor_-_room_airing-faulty-8-iforest.csv,-,10078,35,7851,2167,25,0.58,0.78,0.78,0.03
results/base_-_indoor_-_room_airing-faulty-12-iforest.csv,-,10078,28,8163,1881,6,0.82,0.81,0.81,0.03
results/base_-_outdoor_-_heavy_rain-faulty-13-iforest.csv,-,1002,1,826,163,12,0.08,0.84,0.83,0.01
results/base_-_indoor_-_stable-faulty-8-iforest.csv,-,997,39,891,42,25,0.61,0.95,0.93,0.54
results/base_-_indoor_-_room_airing-faulty-13-iforest.csv,-,10078,49,7839,2173,17,0.74,0.78,0.78,0.04
results/base_-_outdoor_-_heavy_rain-faulty-4-iforest.csv,-,1002,11,849,130,12,0.48,0.87,0.86,0.13
results/base_-_outdoor_-_heavy_rain-faulty-19-iforest.csv,-,1002,2,830,166,4,0.33,0.83,0.83,0.02
results/base_-_indoor_-_room_airing-faulty-14-iforest.csv,-,10078,18,8010,2050,0,1,0.8,0.8,0.02
results/base_-_outdoor_-_heavy_rain-faulty-3-iforest.csv,-,1002,0,829,152,21,0.0,0.85,0.83,0.0
results/base_-_indoor_-_stable-faulty-7-iforest.csv,-,997,26,894,70,7,0.79,0.93,0.92,0.4
results/base_-_indoor_-_stable-faulty-11-iforest.csv,-,997,32,875,77,13,0.71,0.92,0.91,0.42
results/base_-_indoor_-_stable-faulty-9-iforest.csv,-,997,38,894,51,14,0.73,0.95,0.93,0.54
results/base_-_indoor_-_room_airing-faulty-0-iforest.csv,-,10078,44,8106,1904,24,0.65,0.81,0.81,0.04
results/base_-_indoor_-_stable-faulty-1-iforest.csv,-,997,47,888,44,18,0.72,0.95,0.94,0.6
results/base_-_outdoor_-_heavy_rain-faulty-11-iforest.csv,-,1002,0,818,163,21,0.0,0.83,0.82,0.0
results/base_-_outdoor_-_heavy_rain-faulty-0-iforest.csv,-,1002,1,822,160,19,0.05,0.84,0.82,0.01
results/base_-_outdoor_-_heavy_rain-faulty-15-iforest.csv,-,1002,15,815,136,36,0.29,0.86,0.83,0.15
results/base_-_indoor_-_room_airing-faulty-19-iforest.csv,-,10078,16,7825,2229,8,0.67,0.78,0.78,0.01
results/base_-_indoor_-_room_airing-faulty-10-iforest.csv,-,10078,10,8035,2030,3,0.77,0.8,0.8,0.01
results/base_-_indoor_-_stable-faulty-3-iforest.csv,-,997,35,882,37,43,0.45,0.96,0.92,0.47
results/base_-_indoor_-_stable-faulty-13-iforest.csv,-,997,44,873,46,34,0.56,0.95,0.92,0.52
results/base_-_indoor_-_stable-faulty-5-iforest.csv,-,997,16,873,100,8,0.67,0.9,0.89,0.23
results/base_-_indoor_-_room_airing-faulty-9-iforest.csv,-,10078,25,7853,2180,20,0.56,0.78,0.78,0.02
results/base_-_indoor_-_stable-faulty-15-iforest.csv,-,997,30,889,67,11,0.73,0.93,0.92,0.43
results/base_-_outdoor_-_heavy_rain-faulty-10-iforest.csv,-,1002,12,841,127,22,0.35,0.87,0.85,0.14
results/base_-_indoor_-_room_airing-faulty-18-iforest.csv,-,10078,50,7801,2204,23,0.68,0.78,0.78,0.04
results/base_-_outdoor_-_heavy_rain-faulty-12-iforest.csv,-,1002,10,824,130,38,0.21,0.86,0.83,0.11
results/base_-_indoor_-_room_airing-faulty-16-iforest.csv,-,10078,36,8003,2031,8,0.82,0.8,0.8,0.03
results/base_-_indoor_-_stable-faulty-16-iforest.csv,-,997,34,886,42,35,0.49,0.95,0.92,0.47
results/base_-_indoor_-_room_airing-faulty-11-iforest.csv,-,10078,9,7970,2099,0,1,0.79,0.79,0.01
