dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (ACC),accuracy (F-score)
total (60 datasets),mean,4025.67,30.93,3323.6,657.55,13.58,0.73,0.88,0.87,0.24
total (60 datasets),min,997,2,795,29,0,0.14,0.8,0.8,0.0
total (60 datasets),max,10078,76,8485,2037,58,1,0.97,0.95,0.62
results/base_-_indoor_-_room_airing-faulty-10-iforest_ext.csv,-,10078,12,8198,1867,1,0.92,0.81,0.81,0.01
results/base_-_indoor_-_room_airing-faulty-1-iforest_ext.csv,-,10078,55,8310,1709,4,0.93,0.83,0.83,0.06
results/base_-_indoor_-_stable-faulty-5-iforest_ext.csv,-,997,21,888,85,3,0.88,0.91,0.91,0.32
results/base_-_outdoor_-_heavy_rain-faulty-15-iforest_ext.csv,-,1002,26,821,130,25,0.51,0.86,0.85,0.25
results/base_-_outdoor_-_heavy_rain-faulty-5-iforest_ext.csv,-,1002,2,846,153,1,0.67,0.85,0.85,0.03
results/base_-_indoor_-_room_airing-faulty-2-iforest_ext.csv,-,10078,3,8187,1888,0,1,0.81,0.81,0.0
results/base_-_outdoor_-_heavy_rain-faulty-1-iforest_ext.csv,-,1002,31,817,105,49,0.39,0.89,0.85,0.29
results/base_-_indoor_-_room_airing-faulty-5-iforest_ext.csv,-,10078,10,8031,2037,0,1,0.8,0.8,0.01
results/base_-_indoor_-_room_airing-faulty-16-iforest_ext.csv,-,10078,44,8256,1778,0,1,0.82,0.82,0.05
results/base_-_indoor_-_stable-faulty-17-iforest_ext.csv,-,997,12,914,67,4,0.75,0.93,0.93,0.25
results/base_-_indoor_-_room_airing-faulty-19-iforest_ext.csv,-,10078,22,8030,2024,2,0.92,0.8,0.8,0.02
results/base_-_indoor_-_room_airing-faulty-15-iforest_ext.csv,-,10078,51,8216,1808,3,0.94,0.82,0.82,0.05
results/base_-_indoor_-_stable-faulty-8-iforest_ext.csv,-,997,45,894,39,19,0.7,0.96,0.94,0.61
results/base_-_indoor_-_stable-faulty-3-iforest_ext.csv,-,997,35,890,29,43,0.45,0.97,0.93,0.49
results/base_-_indoor_-_room_airing-faulty-3-iforest_ext.csv,-,10078,8,8136,1933,1,0.89,0.81,0.81,0.01
results/base_-_indoor_-_room_airing-faulty-17-iforest_ext.csv,-,10078,30,8262,1786,0,1,0.82,0.82,0.03
results/base_-_outdoor_-_heavy_rain-faulty-7-iforest_ext.csv,-,1002,18,836,143,5,0.78,0.85,0.85,0.2
results/base_-_outdoor_-_heavy_rain-faulty-8-iforest_ext.csv,-,1002,22,809,134,37,0.37,0.86,0.83,0.2
results/base_-_indoor_-_stable-faulty-15-iforest_ext.csv,-,997,35,893,63,6,0.85,0.93,0.93,0.5
results/base_-_outdoor_-_heavy_rain-faulty-16-iforest_ext.csv,-,1002,13,830,152,7,0.65,0.85,0.84,0.14
