dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (ACC),accuracy (F-score)
total (60 datasets),mean,4025.67,28.68,3643.07,338.08,15.83,0.66,0.9,0.89,0.22
total (60 datasets),min,997,0,726,45,0,0.0,0.8,0.75,0.0
total (60 datasets),max,10078,72,9311,987,65,1,0.95,0.93,0.57
results/base_-_indoor_-_room_airing-faulty-17-rrcf.csv,-,10078,27,9268,780,3,0.9,0.92,0.92,0.06
results/base_-_indoor_-_room_airing-faulty-8-rrcf.csv,-,10078,58,9223,795,2,0.97,0.92,0.92,0.13
results/base_-_indoor_-_room_airing-faulty-0-rrcf.csv,-,10078,63,9205,805,5,0.93,0.92,0.92,0.13
results/base_-_indoor_-_stable-faulty-19-rrcf.csv,-,997,34,876,74,13,0.72,0.92,0.91,0.44
results/base_-_outdoor_-_heavy_rain-faulty-0-rrcf.csv,-,1002,3,825,157,17,0.15,0.84,0.83,0.03
results/base_-_indoor_-_room_airing-faulty-15-rrcf.csv,-,10078,47,9229,795,7,0.87,0.92,0.92,0.1
results/base_-_outdoor_-_heavy_rain-faulty-11-rrcf.csv,-,1002,0,834,147,21,0.0,0.85,0.83,0.0
results/base_-_indoor_-_stable-faulty-13-rrcf.csv,-,997,43,848,71,35,0.55,0.92,0.89,0.45
results/base_-_outdoor_-_heavy_rain-faulty-9-rrcf.csv,-,1002,31,842,79,50,0.38,0.91,0.87,0.32
results/base_-_indoor_-_room_airing-faulty-11-rrcf.csv,-,10078,9,9082,987,0,1,0.9,0.9,0.02
results/base_-_indoor_-_stable-faulty-4-rrcf.csv,-,997,41,862,58,36,0.53,0.94,0.91,0.47
results/base_-_outdoor_-_heavy_rain-faulty-5-rrcf.csv,-,1002,2,844,155,1,0.67,0.84,0.84,0.03
results/base_-_indoor_-_room_airing-faulty-3-rrcf.csv,-,10078,9,9233,836,0,1,0.92,0.92,0.02
results/base_-_indoor_-_stable-faulty-12-rrcf.csv,-,997,30,885,59,23,0.57,0.94,0.92,0.42
results/base_-_indoor_-_stable-faulty-9-rrcf.csv,-,997,40,875,70,12,0.77,0.93,0.92,0.49
results/base_-_outdoor_-_heavy_rain-faulty-10-rrcf.csv,-,1002,25,850,118,9,0.74,0.88,0.87,0.28
results/base_-_indoor_-_stable-faulty-1-rrcf.csv,-,997,32,863,69,33,0.49,0.93,0.9,0.39
results/base_-_indoor_-_stable-faulty-8-rrcf.csv,-,997,50,873,60,14,0.78,0.94,0.93,0.57
results/base_-_indoor_-_stable-faulty-10-rrcf.csv,-,997,30,889,77,1,0.97,0.92,0.92,0.43
results/base_-_indoor_-_stable-faulty-6-rrcf.csv,-,997,11,897,88,1,0.92,0.91,0.91,0.2
results/base_-_indoor_-_room_airing-faulty-13-rrcf.csv,-,10078,56,9185,827,10,0.85,0.92,0.92,0.12
results/base_-_indoor_-_room_airing-faulty-12-rrcf.csv,-,10078,33,9144,900,1,0.97,0.91,0.91,0.07
results/base_-_outdoor_-_heavy_rain-faulty-17-rrcf.csv,-,1002,27,726,184,65,0.29,0.8,0.75,0.18
results/base_-_outdoor_-_heavy_rain-faulty-6-rrcf.csv,-,1002,22,814,117,49,0.31,0.87,0.83,0.21
results/base_-_outdoor_-_heavy_rain-faulty-14-rrcf.csv,-,1002,27,861,89,25,0.52,0.91,0.89,0.32
results/base_-_outdoor_-_heavy_rain-faulty-15-rrcf.csv,-,1002,30,870,81,21,0.59,0.91,0.9,0.37
results/base_-_indoor_-_stable-faulty-17-rrcf.csv,-,997,13,898,83,3,0.81,0.92,0.91,0.23
results/base_-_indoor_-_stable-faulty-18-rrcf.csv,-,997,44,850,64,39,0.53,0.93,0.9,0.46
results/base_-_outdoor_-_heavy_rain-faulty-3-rrcf.csv,-,1002,3,853,128,18,0.14,0.87,0.85,0.04
results/base_-_outdoor_-_heavy_rain-faulty-18-rrcf.csv,-,1002,11,818,155,18,0.38,0.84,0.83,0.11
results/base_-_outdoor_-_heavy_rain-faulty-12-rrcf.csv,-,1002,20,854,100,28,0.42,0.9,0.87,0.24
results/base_-_indoor_-_room_airing-faulty-1-rrcf.csv,-,10078,52,9301,718,7,0.88,0.93,0.93,0.13
results/base_-_indoor_-_stable-faulty-16-rrcf.csv,-,997,39,883,45,30,0.57,0.95,0.92,0.51
results/base_-_indoor_-_room_airing-faulty-9-rrcf.csv,-,10078,36,9216,817,9,0.8,0.92,0.92,0.08
results/base_-_indoor_-_stable-faulty-14-rrcf.csv,-,997,17,856,62,62,0.22,0.93,0.88,0.22
results/base_-_indoor_-_stable-faulty-3-rrcf.csv,-,997,50,858,61,28,0.64,0.93,0.91,0.53
results/base_-_outdoor_-_heavy_rain-faulty-19-rrcf.csv,-,1002,3,877,119,3,0.5,0.88,0.88,0.05
results/base_-_outdoor_-_heavy_rain-faulty-4-rrcf.csv,-,1002,20,910,69,3,0.87,0.93,0.93,0.36
results/base_-_indoor_-_stable-faulty-11-rrcf.csv,-,997,33,870,82,12,0.73,0.91,0.91,0.41
results/base_-_indoor_-_stable-faulty-0-rrcf.csv,-,997,36,880,71,10,0.78,0.93,0.92,0.47
results/base_-_indoor_-_room_airing-faulty-19-rrcf.csv,-,10078,23,9220,834,1,0.96,0.92,0.92,0.05
results/base_-_indoor_-_stable-faulty-5-rrcf.csv,-,997,22,898,75,2,0.92,0.92,0.92,0.36
results/base_-_indoor_-_room_airing-faulty-16-rrcf.csv,-,10078,44,9246,788,0,1,0.92,0.92,0.1
results/base_-_outdoor_-_heavy_rain-faulty-13-rrcf.csv,-,1002,2,848,141,11,0.15,0.86,0.85,0.03
results/base_-_indoor_-_room_airing-faulty-10-rrcf.csv,-,10078,13,9135,930,0,1,0.91,0.91,0.03
results/base_-_indoor_-_room_airing-faulty-6-rrcf.csv,-,10078,65,9311,695,7,0.9,0.93,0.93,0.16
results/base_-_outdoor_-_heavy_rain-faulty-1-rrcf.csv,-,1002,30,774,148,50,0.38,0.84,0.8,0.23
results/base_-_outdoor_-_heavy_rain-faulty-7-rrcf.csv,-,1002,6,821,158,17,0.26,0.84,0.83,0.06
results/base_-_indoor_-_stable-faulty-2-rrcf.csv,-,997,30,891,66,10,0.75,0.93,0.92,0.44
results/base_-_outdoor_-_heavy_rain-faulty-2-rrcf.csv,-,1002,25,795,141,41,0.38,0.85,0.82,0.22
results/base_-_indoor_-_room_airing-faulty-14-rrcf.csv,-,10078,18,9216,844,0,1,0.92,0.92,0.04
results/base_-_indoor_-_room_airing-faulty-4-rrcf.csv,-,10078,51,9240,781,6,0.89,0.92,0.92,0.11
results/base_-_indoor_-_stable-faulty-15-rrcf.csv,-,997,31,878,78,10,0.76,0.92,0.91,0.41
results/base_-_outdoor_-_heavy_rain-faulty-8-rrcf.csv,-,1002,29,784,159,30,0.49,0.83,0.81,0.23
results/base_-_indoor_-_room_airing-faulty-18-rrcf.csv,-,10078,65,9283,722,8,0.89,0.93,0.93,0.15
results/base_-_indoor_-_room_airing-faulty-7-rrcf.csv,-,10078,72,9238,763,5,0.94,0.92,0.92,0.16
results/base_-_indoor_-_room_airing-faulty-2-rrcf.csv,-,10078,2,9212,863,1,0.67,0.91,0.91,0.0
results/base_-_indoor_-_stable-faulty-7-rrcf.csv,-,997,25,895,69,8,0.76,0.93,0.92,0.39
results/base_-_outdoor_-_heavy_rain-faulty-16-rrcf.csv,-,1002,1,834,148,19,0.05,0.85,0.83,0.01
results/base_-_indoor_-_room_airing-faulty-5-rrcf.csv,-,10078,10,9238,830,0,1,0.92,0.92,0.02
