dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (ACC),accuracy (F-score)
total (60 datasets),mean,4025.67,29.13,3623.52,357.63,15.38,0.71,0.9,0.89,0.22
total (60 datasets),min,997,2,776,48,0,0.15,0.81,0.79,0.01
total (60 datasets),max,10078,72,9347,1024,73,1,0.95,0.93,0.58
results/base_-_outdoor_-_heavy_rain-faulty-18-rrcf_ext.csv,-,1002,16,821,152,13,0.55,0.84,0.84,0.16
results/base_-_indoor_-_stable-faulty-14-rrcf_ext.csv,-,997,21,828,90,58,0.27,0.9,0.85,0.22
results/base_-_outdoor_-_heavy_rain-faulty-14-rrcf_ext.csv,-,1002,29,836,114,23,0.56,0.88,0.86,0.3
results/base_-_outdoor_-_heavy_rain-faulty-4-rrcf_ext.csv,-,1002,19,889,90,4,0.83,0.91,0.91,0.29
results/base_-_indoor_-_stable-faulty-8-rrcf_ext.csv,-,997,41,857,76,23,0.64,0.92,0.9,0.45
results/base_-_outdoor_-_heavy_rain-faulty-17-rrcf_ext.csv,-,1002,19,776,134,73,0.21,0.85,0.79,0.16
results/base_-_indoor_-_stable-faulty-18-rrcf_ext.csv,-,997,32,831,83,51,0.39,0.91,0.87,0.32
results/base_-_outdoor_-_heavy_rain-faulty-2-rrcf_ext.csv,-,1002,33,819,117,33,0.5,0.88,0.85,0.31
results/base_-_indoor_-_room_airing-faulty-6-rrcf_ext.csv,-,10078,72,9347,659,0,1,0.93,0.93,0.18
results/base_-_indoor_-_room_airing-faulty-1-rrcf_ext.csv,-,10078,56,9262,757,3,0.95,0.92,0.92,0.13
results/base_-_indoor_-_room_airing-faulty-16-rrcf_ext.csv,-,10078,44,9156,878,0,1,0.91,0.91,0.09
results/base_-_outdoor_-_heavy_rain-faulty-12-rrcf_ext.csv,-,1002,31,861,93,17,0.65,0.9,0.89,0.36
results/base_-_outdoor_-_heavy_rain-faulty-8-rrcf_ext.csv,-,1002,29,785,158,30,0.49,0.83,0.81,0.24
results/base_-_outdoor_-_heavy_rain-faulty-3-rrcf_ext.csv,-,1002,14,865,116,7,0.67,0.88,0.88,0.19
results/base_-_indoor_-_room_airing-faulty-15-rrcf_ext.csv,-,10078,43,9103,921,11,0.8,0.91,0.91,0.08
results/base_-_indoor_-_room_airing-faulty-2-rrcf_ext.csv,-,10078,3,9051,1024,0,1,0.9,0.9,0.01
results/base_-_outdoor_-_heavy_rain-faulty-9-rrcf_ext.csv,-,1002,34,826,95,47,0.42,0.9,0.86,0.32
results/base_-_outdoor_-_heavy_rain-faulty-0-rrcf_ext.csv,-,1002,15,811,171,5,0.75,0.83,0.82,0.15
results/base_-_outdoor_-_heavy_rain-faulty-15-rrcf_ext.csv,-,1002,33,841,110,18,0.65,0.88,0.87,0.34
results/base_-_indoor_-_room_airing-faulty-4-rrcf_ext.csv,-,10078,47,9298,723,10,0.82,0.93,0.93,0.11
results/base_-_outdoor_-_heavy_rain-faulty-19-rrcf_ext.csv,-,1002,4,841,155,2,0.67,0.84,0.84,0.05
results/base_-_indoor_-_room_airing-faulty-0-rrcf_ext.csv,-,10078,46,9206,804,22,0.68,0.92,0.92,0.1
results/base_-_indoor_-_room_airing-faulty-17-rrcf_ext.csv,-,10078,29,9128,920,1,0.97,0.91,0.91,0.06
results/base_-_indoor_-_stable-faulty-2-rrcf_ext.csv,-,997,35,885,72,5,0.88,0.92,0.92,0.48
results/base_-_indoor_-_stable-faulty-15-rrcf_ext.csv,-,997,32,862,94,9,0.78,0.9,0.9,0.38
results/base_-_indoor_-_room_airing-faulty-3-rrcf_ext.csv,-,10078,9,9091,978,0,1,0.9,0.9,0.02
results/base_-_indoor_-_stable-faulty-5-rrcf_ext.csv,-,997,23,874,99,1,0.96,0.9,0.9,0.32
results/base_-_outdoor_-_heavy_rain-faulty-10-rrcf_ext.csv,-,1002,18,878,90,16,0.53,0.91,0.89,0.25
results/base_-_indoor_-_room_airing-faulty-12-rrcf_ext.csv,-,10078,33,9297,747,1,0.97,0.93,0.93,0.08
results/base_-_indoor_-_stable-faulty-3-rrcf_ext.csv,-,997,38,857,62,40,0.49,0.93,0.9,0.43
results/base_-_indoor_-_room_airing-faulty-14-rrcf_ext.csv,-,10078,17,9136,924,1,0.94,0.91,0.91,0.04
results/base_-_outdoor_-_heavy_rain-faulty-7-rrcf_ext.csv,-,1002,12,824,155,11,0.52,0.84,0.83,0.13
results/base_-_indoor_-_stable-faulty-9-rrcf_ext.csv,-,997,43,864,81,9,0.83,0.91,0.91,0.49
results/base_-_indoor_-_stable-faulty-13-rrcf_ext.csv,-,997,60,851,68,18,0.77,0.93,0.91,0.58
results/base_-_outdoor_-_heavy_rain-faulty-6-rrcf_ext.csv,-,1002,20,829,102,51,0.28,0.89,0.85,0.21
results/base_-_outdoor_-_heavy_rain-faulty-16-rrcf_ext.csv,-,1002,6,797,185,14,0.3,0.81,0.8,0.06
results/base_-_indoor_-_room_airing-faulty-13-rrcf_ext.csv,-,10078,50,9202,810,16,0.76,0.92,0.92,0.11
results/base_-_indoor_-_room_airing-faulty-8-rrcf_ext.csv,-,10078,59,9237,781,1,0.98,0.92,0.92,0.13
results/base_-_indoor_-_stable-faulty-1-rrcf_ext.csv,-,997,31,855,77,34,0.48,0.92,0.89,0.36
