dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (F-score)
total (30 datasets),mean,4025.67,15.57,3991.43,8.3,10.37,0.69,0.99,0.69
total (30 datasets),min,997,0,918,0,0,0.41,0.98,0.36
total (30 datasets),max,10078,40,10078,21,26,1,1.0,1
results/base_-_outdoor_-_heavy_rain-ddca_with_faults-5.csv,-,1002,7,986,2,7,0.5,1.0,0.61
results/base_-_indoor_-_stable-ddca_with_faults-9.csv,-,997,25,943,11,18,0.58,0.99,0.63
results/base_-_indoor_-_room_airing-ddca_with_faults-2.csv,-,10078,0,10078,0,0,1,1.0,1
results/base_-_indoor_-_room_airing-ddca_with_faults-8.csv,-,10078,8,10060,5,5,0.62,1.0,0.62
results/base_-_indoor_-_stable-ddca_with_faults-1.csv,-,997,2,990,4,1,0.67,1.0,0.44
results/base_-_outdoor_-_heavy_rain-ddca_with_faults-0.csv,-,1002,17,973,7,5,0.77,0.99,0.74
results/base_-_indoor_-_stable-ddca_with_faults-4.csv,-,997,23,948,13,13,0.64,0.99,0.64
results/base_-_outdoor_-_heavy_rain-ddca_with_faults-9.csv,-,1002,0,1002,0,0,1,1.0,1
results/base_-_outdoor_-_heavy_rain-ddca_with_faults-3.csv,-,1002,38,936,6,22,0.63,0.99,0.73
results/base_-_indoor_-_stable-ddca_with_faults-3.csv,-,997,24,952,11,10,0.71,0.99,0.7
results/base_-_indoor_-_room_airing-ddca_with_faults-3.csv,-,10078,12,10051,10,5,0.71,1.0,0.62
results/base_-_outdoor_-_heavy_rain-ddca_with_faults-4.csv,-,1002,29,940,14,19,0.6,0.99,0.64
results/base_-_indoor_-_stable-ddca_with_faults-7.csv,-,997,18,964,8,7,0.72,0.99,0.71
results/base_-_indoor_-_room_airing-ddca_with_faults-6.csv,-,10078,0,10078,0,0,1,1.0,1
results/base_-_indoor_-_room_airing-ddca_with_faults-9.csv,-,10078,0,10076,0,2,1,1.0,1
results/base_-_indoor_-_stable-ddca_with_faults-2.csv,-,997,2,990,4,1,0.67,1.0,0.44
results/base_-_outdoor_-_heavy_rain-ddca_with_faults-2.csv,-,1002,0,1002,0,0,1,1.0,1
results/base_-_outdoor_-_heavy_rain-ddca_with_faults-1.csv,-,1002,21,943,18,20,0.51,0.98,0.53
results/base_-_indoor_-_stable-ddca_with_faults-0.csv,-,997,40,918,13,26,0.61,0.99,0.67
results/base_-_indoor_-_room_airing-ddca_with_faults-1.csv,-,10078,22,10013,21,22,0.5,1.0,0.51
results/base_-_indoor_-_stable-ddca_with_faults-6.csv,-,997,29,935,8,25,0.54,0.99,0.64
results/base_-_outdoor_-_heavy_rain-ddca_with_faults-6.csv,-,1002,10,974,10,8,0.56,0.99,0.53
results/base_-_indoor_-_room_airing-ddca_with_faults-0.csv,-,10078,6,10066,3,3,0.67,1.0,0.67
results/base_-_outdoor_-_heavy_rain-ddca_with_faults-8.csv,-,1002,10,978,2,12,0.45,1.0,0.59
results/base_-_indoor_-_stable-ddca_with_faults-5.csv,-,997,0,997,0,0,1,1.0,1
results/base_-_outdoor_-_heavy_rain-ddca_with_faults-7.csv,-,1002,40,924,17,21,0.66,0.98,0.68
results/base_-_indoor_-_room_airing-ddca_with_faults-5.csv,-,10078,14,10048,8,8,0.64,1.0,0.64
results/base_-_indoor_-_room_airing-ddca_with_faults-4.csv,-,10078,7,10046,15,10,0.41,1.0,0.36
results/base_-_indoor_-_stable-ddca_with_faults-8.csv,-,997,34,925,19,19,0.64,0.98,0.64
results/base_-_indoor_-_room_airing-ddca_with_faults-7.csv,-,10078,29,10007,20,22,0.57,1.0,0.58
