dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (ACC),accuracy (F-score)
total (60 datasets),mean,4025.67,34.8,3757.57,223.58,9.72,0.79,0.8,0.8,0.29
total (60 datasets),min,997,2,422,11,0,0.2,0.46,0.49,0.01
total (60 datasets),max,10078,81,10057,509,51,1,1.0,1.0,0.5
results/base_-_indoor_-_room_airing-faulty-9-stdev.csv,-,10078,37,9876,157,8,0.82,0.98,0.98,0.31
results/base_-_indoor_-_stable-faulty-3-stdev.csv,-,997,67,755,164,11,0.86,0.82,0.82,0.43
results/base_-_indoor_-_room_airing-faulty-16-stdev.csv,-,10078,36,9938,96,8,0.82,0.99,0.99,0.41
results/base_-_outdoor_-_heavy_rain-faulty-8-stdev.csv,-,1002,54,455,488,5,0.92,0.48,0.51,0.18
results/base_-_outdoor_-_heavy_rain-faulty-0-stdev.csv,-,1002,14,540,442,6,0.7,0.55,0.55,0.06
results/base_-_indoor_-_stable-faulty-17-stdev.csv,-,997,9,929,52,7,0.56,0.95,0.94,0.23
results/base_-_indoor_-_room_airing-faulty-13-stdev.csv,-,10078,42,9862,150,24,0.64,0.99,0.98,0.33
results/base_-_outdoor_-_heavy_rain-faulty-3-stdev.csv,-,1002,21,493,488,0,1,0.5,0.51,0.08
results/base_-_outdoor_-_heavy_rain-faulty-6-stdev.csv,-,1002,63,446,485,8,0.89,0.48,0.51,0.2
results/base_-_indoor_-_stable-faulty-11-stdev.csv,-,997,29,861,91,16,0.64,0.9,0.89,0.35
results/base_-_indoor_-_stable-faulty-16-stdev.csv,-,997,53,760,168,16,0.77,0.82,0.82,0.37
results/base_-_outdoor_-_heavy_rain-faulty-9-stdev.csv,-,1002,68,438,483,13,0.84,0.48,0.5,0.22
results/base_-_indoor_-_stable-faulty-7-stdev.csv,-,997,26,891,73,7,0.79,0.92,0.92,0.39
results/base_-_indoor_-_room_airing-faulty-10-stdev.csv,-,10078,5,10033,32,8,0.38,1.0,1.0,0.2
results/base_-_outdoor_-_heavy_rain-faulty-16-stdev.csv,-,1002,20,504,478,0,1,0.51,0.52,0.08
results/base_-_indoor_-_room_airing-faulty-12-stdev.csv,-,10078,34,9959,85,0,1,0.99,0.99,0.44
results/base_-_indoor_-_stable-faulty-4-stdev.csv,-,997,69,773,147,8,0.9,0.84,0.84,0.47
results/base_-_outdoor_-_heavy_rain-faulty-13-stdev.csv,-,1002,8,524,465,5,0.62,0.53,0.53,0.03
results/base_-_indoor_-_stable-faulty-13-stdev.csv,-,997,48,803,116,30,0.62,0.87,0.85,0.4
results/base_-_indoor_-_stable-faulty-18-stdev.csv,-,997,78,715,199,5,0.94,0.78,0.8,0.43
results/base_-_indoor_-_stable-faulty-5-stdev.csv,-,997,16,917,56,8,0.67,0.94,0.94,0.33
results/base_-_indoor_-_stable-faulty-15-stdev.csv,-,997,34,881,75,7,0.83,0.92,0.92,0.45
results/base_-_indoor_-_stable-faulty-6-stdev.csv,-,997,12,946,39,0,1,0.96,0.96,0.38
results/base_-_outdoor_-_heavy_rain-faulty-5-stdev.csv,-,1002,3,552,447,0,1,0.55,0.55,0.01
results/base_-_outdoor_-_heavy_rain-faulty-2-stdev.csv,-,1002,46,453,483,20,0.7,0.48,0.5,0.15
results/base_-_indoor_-_stable-faulty-2-stdev.csv,-,997,24,892,65,16,0.6,0.93,0.92,0.37
