dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (ACC),accuracy (F-score)
total (60 datasets),mean,4025.67,41.82,3742.33,238.82,2.7,0.94,0.78,0.79,0.32
total (60 datasets),min,997,3,409,18,0,0.69,0.45,0.48,0.01
total (60 datasets),max,10078,89,10054,512,13,1,1.0,1.0,0.5
results/base_-_indoor_-_room_airing-faulty-14-stdev_ext.csv,-,10078,18,10024,36,0,1,1.0,1.0,0.5
results/base_-_indoor_-_room_airing-faulty-17-stdev_ext.csv,-,10078,28,9984,64,2,0.93,0.99,0.99,0.46
results/base_-_outdoor_-_heavy_rain-faulty-17-stdev_ext.csv,-,1002,89,409,501,3,0.97,0.45,0.5,0.26
results/base_-_indoor_-_room_airing-faulty-1-stdev_ext.csv,-,10078,54,9835,184,5,0.92,0.98,0.98,0.36
results/base_-_indoor_-_room_airing-faulty-11-stdev_ext.csv,-,10078,9,10051,18,0,1,1.0,1.0,0.5
results/base_-_indoor_-_stable-faulty-14-stdev_ext.csv,-,997,66,702,216,13,0.84,0.76,0.77,0.37
results/base_-_outdoor_-_heavy_rain-faulty-16-stdev_ext.csv,-,1002,20,504,478,0,1,0.51,0.52,0.08
results/base_-_indoor_-_stable-faulty-15-stdev_ext.csv,-,997,39,869,87,2,0.95,0.91,0.91,0.47
results/base_-_indoor_-_room_airing-faulty-18-stdev_ext.csv,-,10078,65,9833,172,8,0.89,0.98,0.98,0.42
results/base_-_outdoor_-_heavy_rain-faulty-6-stdev_ext.csv,-,1002,69,434,497,2,0.97,0.47,0.5,0.22
results/base_-_outdoor_-_heavy_rain-faulty-7-stdev_ext.csv,-,1002,19,506,473,4,0.83,0.52,0.52,0.07
results/base_-_indoor_-_stable-faulty-3-stdev_ext.csv,-,997,75,732,187,3,0.96,0.8,0.81,0.44
results/base_-_indoor_-_room_airing-faulty-6-stdev_ext.csv,-,10078,68,9794,212,4,0.94,0.98,0.98,0.39
results/base_-_indoor_-_room_airing-faulty-8-stdev_ext.csv,-,10078,55,9890,128,5,0.92,0.99,0.99,0.45
results/base_-_outdoor_-_heavy_rain-faulty-1-stdev_ext.csv,-,1002,79,412,510,1,0.99,0.45,0.49,0.24
results/base_-_outdoor_-_heavy_rain-faulty-13-stdev_ext.csv,-,1002,12,512,477,1,0.92,0.52,0.52,0.05
results/base_-_indoor_-_stable-faulty-9-stdev_ext.csv,-,997,48,829,116,4,0.92,0.88,0.88,0.44
results/base_-_outdoor_-_heavy_rain-faulty-4-stdev_ext.csv,-,1002,23,532,447,0,1,0.54,0.55,0.09
results/base_-_indoor_-_stable-faulty-4-stdev_ext.csv,-,997,74,761,159,3,0.96,0.83,0.84,0.48
results/base_-_outdoor_-_heavy_rain-faulty-19-stdev_ext.csv,-,1002,6,535,461,0,1,0.54,0.54,0.03
results/base_-_outdoor_-_heavy_rain-faulty-5-stdev_ext.csv,-,1002,3,552,447,0,1,0.55,0.55,0.01
results/base_-_indoor_-_room_airing-faulty-13-stdev_ext.csv,-,10078,60,9827,185,6,0.91,0.98,0.98,0.39
results/base_-_indoor_-_room_airing-faulty-9-stdev_ext.csv,-,10078,41,9864,169,4,0.91,0.98,0.98,0.32
results/base_-_indoor_-_stable-faulty-0-stdev_ext.csv,-,997,46,827,124,0,1,0.87,0.88,0.43
results/base_-_outdoor_-_heavy_rain-faulty-3-stdev_ext.csv,-,1002,21,493,488,0,1,0.5,0.51,0.08
results/base_-_outdoor_-_heavy_rain-faulty-2-stdev_ext.csv,-,1002,60,424,512,6,0.91,0.45,0.48,0.19
results/base_-_indoor_-_stable-faulty-10-stdev_ext.csv,-,997,31,902,64,0,1,0.93,0.94,0.49
results/base_-_outdoor_-_heavy_rain-faulty-9-stdev_ext.csv,-,1002,78,427,494,3,0.96,0.46,0.5,0.24
results/base_-_indoor_-_room_airing-faulty-15-stdev_ext.csv,-,10078,52,9909,115,2,0.96,0.99,0.99,0.47
results/base_-_indoor_-_stable-faulty-16-stdev_ext.csv,-,997,65,736,192,4,0.94,0.79,0.8,0.4
results/base_-_indoor_-_room_airing-faulty-19-stdev_ext.csv,-,10078,22,9987,67,2,0.92,0.99,0.99,0.39
results/base_-_indoor_-_stable-faulty-2-stdev_ext.csv,-,997,36,868,89,4,0.9,0.91,0.91,0.44
results/base_-_outdoor_-_heavy_rain-faulty-15-stdev_ext.csv,-,1002,48,472,479,3,0.94,0.5,0.52,0.17
results/base_-_indoor_-_stable-faulty-18-stdev_ext.csv,-,997,82,706,208,1,0.99,0.77,0.79,0.44
results/base_-_outdoor_-_heavy_rain-faulty-14-stdev_ext.csv,-,1002,49,477,473,3,0.94,0.5,0.52,0.17
results/base_-_indoor_-_stable-faulty-17-stdev_ext.csv,-,997,14,916,65,2,0.88,0.93,0.93,0.29
results/base_-_indoor_-_stable-faulty-8-stdev_ext.csv,-,997,58,777,156,6,0.91,0.83,0.84,0.42
results/base_-_indoor_-_stable-faulty-6-stdev_ext.csv,-,997,12,946,39,0,1,0.96,0.96,0.38
results/base_-_indoor_-_stable-faulty-12-stdev_ext.csv,-,997,47,810,134,6,0.89,0.86,0.86,0.4
results/base_-_outdoor_-_heavy_rain-faulty-12-stdev_ext.csv,-,1002,48,445,509,0,1,0.47,0.49,0.16
results/base_-_indoor_-_stable-faulty-19-stdev_ext.csv,-,997,46,828,122,1,0.98,0.87,0.88,0.43
results/base_-_indoor_-_stable-faulty-7-stdev_ext.csv,-,997,31,879,85,2,0.94,0.91,0.91,0.42
results/base_-_indoor_-_room_airing-faulty-10-stdev_ext.csv,-,10078,9,10022,43,4,0.69,1.0,1.0,0.28
results/base_-_indoor_-_room_airing-faulty-12-stdev_ext.csv,-,10078,34,9959,85,0,1,0.99,0.99,0.44
results/base_-_indoor_-_room_airing-faulty-16-stdev_ext.csv,-,10078,42,9926,108,2,0.95,0.99,0.99,0.43
results/base_-_indoor_-_stable-faulty-5-stdev_ext.csv,-,997,22,905,68,2,0.92,0.93,0.93,0.39
results/base_-_indoor_-_stable-faulty-1-stdev_ext.csv,-,997,65,797,135,0,1,0.86,0.86,0.49
results/base_-_indoor_-_stable-faulty-11-stdev_ext.csv,-,997,41,837,115,4,0.91,0.88,0.88,0.41
results/base_-_outdoor_-_heavy_rain-faulty-10-stdev_ext.csv,-,1002,34,479,489,0,1,0.49,0.51,0.12
results/base_-_indoor_-_room_airing-faulty-2-stdev_ext.csv,-,10078,3,10054,21,0,1,1.0,1.0,0.22
results/base_-_outdoor_-_heavy_rain-faulty-18-stdev_ext.csv,-,1002,29,510,463,0,1,0.52,0.54,0.11
results/base_-_outdoor_-_heavy_rain-faulty-8-stdev_ext.csv,-,1002,57,442,501,2,0.97,0.47,0.5,0.18
results/base_-_indoor_-_stable-faulty-13-stdev_ext.csv,-,997,70,754,165,8,0.9,0.82,0.83,0.45
results/base_-_indoor_-_room_airing-faulty-5-stdev_ext.csv,-,10078,8,10045,23,2,0.8,1.0,1.0,0.39
results/base_-_indoor_-_room_airing-faulty-0-stdev_ext.csv,-,10078,60,9830,180,8,0.88,0.98,0.98,0.39
results/base_-_outdoor_-_heavy_rain-faulty-0-stdev_ext.csv,-,1002,18,526,456,2,0.9,0.54,0.54,0.07
results/base_-_indoor_-_room_airing-faulty-4-stdev_ext.csv,-,10078,55,9858,163,2,0.96,0.98,0.98,0.4
results/base_-_indoor_-_room_airing-faulty-3-stdev_ext.csv,-,10078,9,10051,18,0,1,1.0,1.0,0.5
results/base_-_outdoor_-_heavy_rain-faulty-11-stdev_ext.csv,-,1002,20,522,459,1,0.95,0.53,0.54,0.08
results/base_-_indoor_-_room_airing-faulty-7-stdev_ext.csv,-,10078,67,9803,198,10,0.87,0.98,0.98,0.39
