dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (ACC),accuracy (F-score)
total (60 datasets),mean,4025.67,29.9,3572.58,408.57,14.62,0.69,0.9,0.89,0.25
total (60 datasets),min,997,0,761,18,0,0.0,0.83,0.78,0.0
total (60 datasets),max,10078,77,9297,1197,73,1,0.98,0.98,0.73
results/base_-_indoor_-_room_airing-faulty-17-storm.csv,-,10078,30,8978,1070,0,1,0.89,0.89,0.05
results/base_-_outdoor_-_heavy_rain-faulty-10-storm.csv,-,1002,10,812,156,24,0.29,0.84,0.82,0.1
results/base_-_indoor_-_room_airing-faulty-9-storm.csv,-,10078,36,9035,998,9,0.8,0.9,0.9,0.07
results/base_-_indoor_-_stable-faulty-12-storm.csv,-,997,47,906,38,6,0.89,0.96,0.96,0.68
results/base_-_indoor_-_room_airing-faulty-5-storm.csv,-,10078,10,9044,1024,0,1,0.9,0.9,0.02
results/base_-_outdoor_-_heavy_rain-faulty-12-storm.csv,-,1002,15,802,152,33,0.31,0.84,0.82,0.14
results/base_-_outdoor_-_heavy_rain-faulty-15-storm.csv,-,1002,7,802,149,44,0.14,0.84,0.81,0.07
results/base_-_indoor_-_room_airing-faulty-16-storm.csv,-,10078,44,9090,944,0,1,0.91,0.91,0.09
results/base_-_indoor_-_stable-faulty-6-storm.csv,-,997,12,967,18,0,1,0.98,0.98,0.57
results/base_-_indoor_-_stable-faulty-2-storm.csv,-,997,31,938,19,9,0.78,0.98,0.97,0.69
results/base_-_outdoor_-_heavy_rain-faulty-8-storm.csv,-,1002,13,783,160,46,0.22,0.83,0.79,0.11
results/base_-_indoor_-_room_airing-faulty-2-storm.csv,-,10078,3,9009,1066,0,1,0.89,0.89,0.01
results/base_-_outdoor_-_heavy_rain-faulty-2-storm.csv,-,1002,18,793,143,48,0.27,0.85,0.81,0.16
results/base_-_indoor_-_stable-faulty-14-storm.csv,-,997,45,868,50,34,0.57,0.95,0.92,0.52
results/base_-_indoor_-_room_airing-faulty-4-storm.csv,-,10078,52,9103,918,5,0.91,0.91,0.91,0.1
results/base_-_outdoor_-_heavy_rain-faulty-9-storm.csv,-,1002,18,781,140,63,0.22,0.85,0.8,0.15
results/base_-_indoor_-_stable-faulty-11-storm.csv,-,997,41,919,33,4,0.91,0.97,0.96,0.69
results/base_-_outdoor_-_heavy_rain-faulty-4-storm.csv,-,1002,12,832,147,11,0.52,0.85,0.84,0.13
results/base_-_indoor_-_room_airing-faulty-18-storm.csv,-,10078,63,9073,932,10,0.86,0.91,0.91,0.12
results/base_-_indoor_-_room_airing-faulty-14-storm.csv,-,10078,18,8993,1067,0,1,0.89,0.89,0.03
results/base_-_outdoor_-_heavy_rain-faulty-13-storm.csv,-,1002,0,830,159,13,0.0,0.84,0.83,0.0
results/base_-_indoor_-_stable-faulty-0-storm.csv,-,997,27,925,26,19,0.59,0.97,0.95,0.55
results/base_-_indoor_-_room_airing-faulty-11-storm.csv,-,10078,9,8997,1072,0,1,0.89,0.89,0.02
results/base_-_indoor_-_room_airing-faulty-15-storm.csv,-,10078,54,8827,1197,0,1,0.88,0.88,0.08
results/base_-_outdoor_-_heavy_rain-faulty-6-storm.csv,-,1002,29,795,136,42,0.41,0.85,0.82,0.25
results/base_-_indoor_-_room_airing-faulty-12-storm.csv,-,10078,34,8994,1050,0,1,0.9,0.9,0.06
results/base_-_indoor_-_stable-faulty-13-storm.csv,-,997,64,871,48,14,0.82,0.95,0.94,0.67
results/base_-_indoor_-_stable-faulty-5-storm.csv,-,997,22,863,110,2,0.92,0.89,0.89,0.28
results/base_-_indoor_-_stable-faulty-18-storm.csv,-,997,64,867,47,19,0.77,0.95,0.93,0.66
results/base_-_outdoor_-_heavy_rain-faulty-11-storm.csv,-,1002,0,816,165,21,0.0,0.83,0.81,0.0
results/base_-_outdoor_-_heavy_rain-faulty-19-storm.csv,-,1002,2,832,164,4,0.33,0.84,0.83,0.02
results/base_-_indoor_-_room_airing-faulty-1-storm.csv,-,10078,56,8992,1027,3,0.95,0.9,0.9,0.1
results/base_-_indoor_-_room_airing-faulty-3-storm.csv,-,10078,9,8978,1091,0,1,0.89,0.89,0.02
results/base_-_indoor_-_room_airing-faulty-10-storm.csv,-,10078,13,9006,1059,0,1,0.89,0.89,0.02
results/base_-_indoor_-_room_airing-faulty-7-storm.csv,-,10078,77,8948,1053,0,1,0.89,0.9,0.13
results/base_-_outdoor_-_heavy_rain-faulty-5-storm.csv,-,1002,3,831,168,0,1,0.83,0.83,0.03
results/base_-_indoor_-_stable-faulty-15-storm.csv,-,997,40,928,28,1,0.98,0.97,0.97,0.73
results/base_-_indoor_-_stable-faulty-9-storm.csv,-,997,48,863,82,4,0.92,0.91,0.91,0.53
results/base_-_indoor_-_room_airing-faulty-0-storm.csv,-,10078,67,9297,713,1,0.99,0.93,0.93,0.16
results/base_-_indoor_-_stable-faulty-7-storm.csv,-,997,32,924,40,1,0.97,0.96,0.96,0.61
results/base_-_indoor_-_room_airing-faulty-6-storm.csv,-,10078,72,9024,982,0,1,0.9,0.9,0.13
results/base_-_outdoor_-_heavy_rain-faulty-1-storm.csv,-,1002,16,778,144,64,0.2,0.84,0.79,0.13
results/base_-_indoor_-_room_airing-faulty-19-storm.csv,-,10078,24,8899,1155,0,1,0.89,0.89,0.04
results/base_-_indoor_-_room_airing-faulty-13-storm.csv,-,10078,57,8991,1021,9,0.86,0.9,0.9,0.1
results/base_-_outdoor_-_heavy_rain-faulty-3-storm.csv,-,1002,0,829,152,21,0.0,0.85,0.83,0.0
results/base_-_indoor_-_room_airing-faulty-8-storm.csv,-,10078,58,8957,1061,2,0.97,0.89,0.89,0.1
results/base_-_indoor_-_stable-faulty-17-storm.csv,-,997,16,888,93,0,1,0.91,0.91,0.26
results/base_-_indoor_-_stable-faulty-4-storm.csv,-,997,53,883,37,24,0.69,0.96,0.94,0.63
results/base_-_indoor_-_stable-faulty-1-storm.csv,-,997,58,880,52,7,0.89,0.94,0.94,0.66
results/base_-_outdoor_-_heavy_rain-faulty-7-storm.csv,-,1002,8,823,156,15,0.35,0.84,0.83,0.09
results/base_-_outdoor_-_heavy_rain-faulty-0-storm.csv,-,1002,1,819,163,19,0.05,0.83,0.82,0.01
results/base_-_outdoor_-_heavy_rain-faulty-18-storm.csv,-,1002,8,814,159,21,0.28,0.84,0.82,0.08
results/base_-_outdoor_-_heavy_rain-faulty-14-storm.csv,-,1002,25,818,132,27,0.48,0.86,0.84,0.24
results/base_-_outdoor_-_heavy_rain-faulty-17-storm.csv,-,1002,19,761,149,73,0.21,0.84,0.78,0.15
results/base_-_outdoor_-_heavy_rain-faulty-16-storm.csv,-,1002,0,817,165,20,0.0,0.83,0.82,0.0
results/base_-_indoor_-_stable-faulty-16-storm.csv,-,997,38,900,28,31,0.55,0.97,0.94,0.56
results/base_-_indoor_-_stable-faulty-3-storm.csv,-,997,39,894,25,39,0.5,0.97,0.94,0.55
results/base_-_indoor_-_stable-faulty-19-storm.csv,-,997,47,875,75,0,1,0.92,0.92,0.56
results/base_-_indoor_-_stable-faulty-8-storm.csv,-,997,49,898,35,15,0.77,0.96,0.95,0.66
results/base_-_indoor_-_stable-faulty-10-storm.csv,-,997,31,895,71,0,1,0.93,0.93,0.47
