dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (ACC),accuracy (F-score)
total (60 datasets),mean,4025.67,31.92,3560.7,420.45,12.6,0.73,0.9,0.89,0.26
total (60 datasets),min,997,1,772,21,0,0.08,0.83,0.79,0.01
total (60 datasets),max,10078,77,9231,1211,64,1,0.98,0.98,0.73
results/base_-_indoor_-_stable-faulty-8-storm_ext.csv,-,997,53,897,36,11,0.83,0.96,0.95,0.69
results/base_-_outdoor_-_heavy_rain-faulty-3-storm_ext.csv,-,1002,3,829,152,18,0.14,0.85,0.83,0.03
results/base_-_indoor_-_stable-faulty-5-storm_ext.csv,-,997,24,890,83,0,1,0.91,0.92,0.37
results/base_-_indoor_-_room_airing-faulty-18-storm_ext.csv,-,10078,66,9025,980,7,0.9,0.9,0.9,0.12
results/base_-_indoor_-_stable-faulty-3-storm_ext.csv,-,997,43,888,31,35,0.55,0.97,0.93,0.57
results/base_-_indoor_-_stable-faulty-12-storm_ext.csv,-,997,51,900,44,2,0.96,0.95,0.95,0.69
results/base_-_indoor_-_stable-faulty-0-storm_ext.csv,-,997,27,920,31,19,0.59,0.97,0.95,0.52
results/base_-_indoor_-_room_airing-faulty-16-storm_ext.csv,-,10078,44,9007,1027,0,1,0.9,0.9,0.08
results/base_-_outdoor_-_heavy_rain-faulty-5-storm_ext.csv,-,1002,3,831,168,0,1,0.83,0.83,0.03
results/base_-_indoor_-_stable-faulty-15-storm_ext.csv,-,997,40,927,29,1,0.98,0.97,0.97,0.73
results/base_-_indoor_-_room_airing-faulty-1-storm_ext.csv,-,10078,56,8966,1053,3,0.95,0.89,0.9,0.1
results/base_-_indoor_-_room_airing-faulty-15-storm_ext.csv,-,10078,54,8813,1211,0,1,0.88,0.88,0.08
results/base_-_indoor_-_room_airing-faulty-19-storm_ext.csv,-,10078,24,8882,1172,0,1,0.88,0.88,0.04
results/base_-_indoor_-_stable-faulty-6-storm_ext.csv,-,997,12,964,21,0,1,0.98,0.98,0.53
results/base_-_indoor_-_room_airing-faulty-17-storm_ext.csv,-,10078,30,8947,1101,0,1,0.89,0.89,0.05
results/base_-_outdoor_-_heavy_rain-faulty-8-storm_ext.csv,-,1002,14,787,156,45,0.24,0.83,0.8,0.12
results/base_-_outdoor_-_heavy_rain-faulty-10-storm_ext.csv,-,1002,11,812,156,23,0.32,0.84,0.82,0.11
