dataset,value,measurements,true positives (TP),true negatives (TN),false positives (FP),false negatives (FN),sensitivity (TPR),specificity (TNR),accuracy (F-score)
total (60 datasets),mean,4025.67,2.82,3521.72,459.43,41.7,0.07,0.9,0.03
total (60 datasets),min,997,0,775,39,0,0.0,0.85,0.0
total (60 datasets),max,10078,22,8923,1323,79,1,0.96,0.18
results/base_-_indoor_-_stable-faulty-15-xstream.csv,-,997,0,880,76,41,0.0,0.92,0.0
results/base_-_indoor_-_stable-faulty-5-xstream.csv,-,997,4,879,94,20,0.17,0.9,0.07
results/base_-_indoor_-_room_airing-faulty-13-xstream.csv,-,10078,4,8806,1206,62,0.06,0.88,0.01
results/base_-_indoor_-_room_airing-faulty-12-xstream.csv,-,10078,0,8843,1201,34,0.0,0.88,0.0
results/base_-_indoor_-_stable-faulty-0-xstream.csv,-,997,5,849,102,41,0.11,0.89,0.07
results/base_-_outdoor_-_heavy_rain-faulty-1-xstream.csv,-,1002,5,838,84,75,0.06,0.91,0.06
results/base_-_indoor_-_room_airing-faulty-2-xstream.csv,-,10078,0,8877,1198,3,0.0,0.88,0.0
results/base_-_indoor_-_stable-faulty-10-xstream.csv,-,997,0,857,109,31,0.0,0.89,0.0
results/base_-_outdoor_-_heavy_rain-faulty-19-xstream.csv,-,1002,0,868,128,6,0.0,0.87,0.0
results/base_-_indoor_-_stable-faulty-17-xstream.csv,-,997,0,903,78,16,0.0,0.92,0.0
results/base_-_indoor_-_room_airing-faulty-15-xstream.csv,-,10078,1,8923,1101,53,0.02,0.89,0.0
results/base_-_indoor_-_stable-faulty-6-xstream.csv,-,997,0,915,70,12,0.0,0.93,0.0
results/base_-_outdoor_-_heavy_rain-faulty-5-xstream.csv,-,1002,0,891,108,3,0.0,0.89,0.0
results/base_-_outdoor_-_heavy_rain-faulty-15-xstream.csv,-,1002,10,845,106,41,0.2,0.89,0.12
results/base_-_outdoor_-_heavy_rain-faulty-11-xstream.csv,-,1002,6,849,132,15,0.29,0.87,0.08
results/base_-_indoor_-_room_airing-faulty-19-xstream.csv,-,10078,0,8731,1323,24,0.0,0.87,0.0
results/base_-_indoor_-_stable-faulty-4-xstream.csv,-,997,12,849,71,65,0.16,0.92,0.15
results/base_-_indoor_-_room_airing-faulty-1-xstream.csv,-,10078,0,8909,1110,59,0.0,0.89,0.0
results/base_-_indoor_-_stable-faulty-13-xstream.csv,-,997,0,848,71,78,0.0,0.92,0.0
results/base_-_indoor_-_room_airing-faulty-7-xstream.csv,-,10078,2,8842,1159,75,0.03,0.88,0.0
results/base_-_outdoor_-_heavy_rain-faulty-3-xstream.csv,-,1002,0,897,84,21,0.0,0.91,0.0
results/base_-_indoor_-_room_airing-faulty-0-xstream.csv,-,10078,0,8752,1258,68,0.0,0.87,0.0
results/base_-_outdoor_-_heavy_rain-faulty-4-xstream.csv,-,1002,3,912,67,20,0.13,0.93,0.06
results/base_-_indoor_-_room_airing-faulty-16-xstream.csv,-,10078,0,8884,1150,44,0.0,0.89,0.0
results/base_-_indoor_-_room_airing-faulty-9-xstream.csv,-,10078,0,8849,1184,45,0.0,0.88,0.0
results/base_-_indoor_-_stable-faulty-1-xstream.csv,-,997,3,838,94,62,0.05,0.9,0.04
results/base_-_indoor_-_stable-faulty-9-xstream.csv,-,997,0,881,64,52,0.0,0.93,0.0
results/base_-_outdoor_-_heavy_rain-faulty-8-xstream.csv,-,1002,9,876,67,50,0.15,0.93,0.13
results/base_-_indoor_-_stable-faulty-3-xstream.csv,-,997,3,817,102,75,0.04,0.89,0.03
results/base_-_indoor_-_stable-faulty-14-xstream.csv,-,997,0,868,50,79,0.0,0.95,0.0
results/base_-_indoor_-_room_airing-faulty-8-xstream.csv,-,10078,5,8807,1211,55,0.08,0.88,0.01
results/base_-_indoor_-_room_airing-faulty-17-xstream.csv,-,10078,0,8865,1183,30,0.0,0.88,0.0
results/base_-_outdoor_-_heavy_rain-faulty-17-xstream.csv,-,1002,22,775,135,70,0.24,0.85,0.18
results/base_-_indoor_-_stable-faulty-19-xstream.csv,-,997,5,870,80,42,0.11,0.92,0.08
results/base_-_outdoor_-_heavy_rain-faulty-12-xstream.csv,-,1002,0,870,84,48,0.0,0.91,0.0
results/base_-_indoor_-_stable-faulty-16-xstream.csv,-,997,3,817,111,66,0.04,0.88,0.03
results/base_-_outdoor_-_heavy_rain-faulty-13-xstream.csv,-,1002,2,849,140,11,0.15,0.86,0.03
results/base_-_outdoor_-_heavy_rain-faulty-16-xstream.csv,-,1002,5,849,133,15,0.25,0.86,0.06
results/base_-_indoor_-_room_airing-faulty-18-xstream.csv,-,10078,4,8823,1182,69,0.05,0.88,0.01
results/base_-_indoor_-_room_airing-faulty-6-xstream.csv,-,10078,3,8817,1189,69,0.04,0.88,0.0
results/base_-_outdoor_-_heavy_rain-faulty-9-xstream.csv,-,1002,5,796,125,76,0.06,0.86,0.05
results/base_-_indoor_-_stable-faulty-12-xstream.csv,-,997,3,825,119,50,0.06,0.87,0.03
results/base_-_indoor_-_room_airing-faulty-10-xstream.csv,-,10078,0,8776,1289,13,0.0,0.87,0.0
results/base_-_indoor_-_stable-faulty-11-xstream.csv,-,997,2,894,58,43,0.04,0.94,0.04
results/base_-_outdoor_-_heavy_rain-faulty-6-xstream.csv,-,1002,8,826,105,63,0.11,0.89,0.09
results/base_-_indoor_-_room_airing-faulty-4-xstream.csv,-,10078,2,8852,1169,55,0.04,0.88,0.0
results/base_-_indoor_-_stable-faulty-8-xstream.csv,-,997,0,853,80,64,0.0,0.91,0.0
results/base_-_indoor_-_stable-faulty-7-xstream.csv,-,997,0,896,68,33,0.0,0.93,0.0
results/base_-_indoor_-_stable-faulty-18-xstream.csv,-,997,4,814,100,79,0.05,0.89,0.04
results/base_-_indoor_-_room_airing-faulty-5-xstream.csv,-,10078,0,8871,1197,10,0.0,0.88,0.0
results/base_-_outdoor_-_heavy_rain-faulty-18-xstream.csv,-,1002,5,887,86,24,0.17,0.91,0.08
results/base_-_outdoor_-_heavy_rain-faulty-2-xstream.csv,-,1002,11,852,84,55,0.17,0.91,0.14
results/base_-_outdoor_-_heavy_rain-faulty-7-xstream.csv,-,1002,0,888,91,23,0.0,0.91,0.0
results/base_-_indoor_-_room_airing-faulty-3-xstream.csv,-,10078,9,8921,1148,0,1,0.89,0.02
results/base_-_indoor_-_stable-faulty-2-xstream.csv,-,997,0,872,85,40,0.0,0.91,0.0
results/base_-_outdoor_-_heavy_rain-faulty-14-xstream.csv,-,1002,2,911,39,50,0.04,0.96,0.04
results/base_-_indoor_-_room_airing-faulty-14-xstream.csv,-,10078,0,8853,1207,18,0.0,0.88,0.0
results/base_-_outdoor_-_heavy_rain-faulty-0-xstream.csv,-,1002,0,881,101,20,0.0,0.9,0.0
results/base_-_outdoor_-_heavy_rain-faulty-10-xstream.csv,-,1002,2,860,108,32,0.06,0.89,0.03
results/base_-_indoor_-_room_airing-faulty-11-xstream.csv,-,10078,0,8857,1212,9,0.0,0.88,0.0
