dec,volt [V],current [mA],power [mW]
239,3.253,4.7,15.289100000000001
239,3.257,5.1000000000000005,16.6107
239,3.257,3.5,11.3995
239,3.257,3.4000000000000004,11.073800000000002
239,3.257,5.300000000000001,17.262100000000004
239,3.257,3.4000000000000004,11.073800000000002
239,3.253,3.2,10.409600000000001
239,3.253,4.9,15.939700000000002
239,3.253,4.4,14.313200000000002
239,3.257,3.2,10.422400000000001
239,3.253,3.4000000000000004,11.060200000000002
239,3.253,5.1000000000000005,16.590300000000003
239,3.257,3.1,10.0967
239,3.257,3.2,10.422400000000001
239,3.257,4.9,15.959300000000002
239,3.257,3.6,11.725200000000001
239,3.257,3.3000000000000003,10.7481
239,3.257,3.4000000000000004,11.073800000000002
239,3.257,4.800000000000001,15.633600000000003
239,3.253,3.2,10.409600000000001
239,3.257,3.4000000000000004,11.073800000000002
239,3.257,4.800000000000001,15.633600000000003
239,3.257,3.3000000000000003,10.7481
239,3.257,3.2,10.422400000000001
239,3.253,3.6,11.7108
239,3.257,4.6000000000000005,14.982200000000002
239,3.253,3.2,10.409600000000001
239,3.253,3.3000000000000003,10.734900000000001
239,3.253,4.800000000000001,15.614400000000003
239,3.253,3.3000000000000003,10.734900000000001
239,3.253,3.1,10.0843
239,3.253,3.8000000000000003,12.361400000000001
239,3.257,3.6,11.725200000000001
239,3.257,3.2,10.422400000000001
239,3.257,2.9000000000000004,9.445300000000001
239,3.257,4.7,15.307900000000002
239,3.257,3.0,9.771
239,3.253,3.0,9.759
239,3.253,4.6000000000000005,14.963800000000003
239,3.253,3.1,10.0843
239,3.253,3.1,10.0843
239,3.257,3.4000000000000004,11.073800000000002
239,3.253,4.3,13.9879
239,3.253,3.2,10.409600000000001
239,3.253,3.3000000000000003,10.734900000000001
239,3.257,4.7,15.307900000000002
239,3.257,2.9000000000000004,9.445300000000001
239,3.253,3.2,10.409600000000001
239,3.253,3.6,11.7108
239,3.257,3.7,12.0509
239,3.253,3.1,10.0843
239,3.253,3.2,10.409600000000001
239,3.253,4.4,14.313200000000002
239,3.257,3.0,9.771
239,3.257,3.1,10.0967
239,3.257,3.7,12.0509
239,3.257,3.2,10.422400000000001
239,3.253,3.1,10.0843
239,3.253,3.0,9.759
239,3.257,3.9000000000000004,12.702300000000001
239,3.253,3.0,9.759
239,3.257,3.0,9.771
239,3.257,4.4,14.330800000000002
239,3.253,3.0,9.759
239,3.257,2.8000000000000003,9.119600000000002
239,3.257,3.6,11.725200000000001
239,3.253,3.6,11.7108
239,3.257,3.0,9.771
239,3.253,3.2,10.409600000000001
239,3.257,4.1000000000000005,13.353700000000002
239,3.257,2.8000000000000003,9.119600000000002
239,3.257,3.1,10.0967
239,3.253,3.5,11.3855
239,3.257,2.9000000000000004,9.445300000000001
239,3.253,2.8000000000000003,9.108400000000001
239,3.253,2.9000000000000004,9.433700000000002
239,3.257,3.7,12.0509
239,3.257,2.9000000000000004,9.445300000000001
239,3.253,2.8000000000000003,9.108400000000001
239,3.253,3.6,11.7108
239,3.257,2.7,8.7939
239,3.253,2.8000000000000003,9.108400000000001
239,3.257,2.8000000000000003,9.119600000000002
239,3.253,3.4000000000000004,11.060200000000002
239,3.257,2.9000000000000004,9.445300000000001
239,3.253,2.5,8.1325
239,3.257,3.7,12.0509
239,3.253,2.8000000000000003,9.108400000000001
239,3.257,2.6,8.468200000000001
239,3.253,3.3000000000000003,10.734900000000001
239,3.257,2.9000000000000004,9.445300000000001
239,3.257,2.7,8.7939
239,3.257,2.8000000000000003,9.119600000000002
239,3.253,3.7,12.036100000000001
239,3.257,2.6,8.468200000000001
239,3.253,2.8000000000000003,9.108400000000001
239,3.257,3.6,11.725200000000001
239,3.253,2.8000000000000003,9.108400000000001
239,3.253,2.7,8.783100000000001
239,3.253,2.9000000000000004,9.433700000000002
239,3.253,3.4000000000000004,11.060200000000002
239,3.257,2.5,8.1425
239,3.253,2.7,8.783100000000001
239,3.253,3.6,11.7108
239,3.253,2.6,8.4578
239,3.257,2.6,8.468200000000001
239,3.253,2.8000000000000003,9.108400000000001
239,3.257,3.2,10.422400000000001
239,3.257,2.6,8.468200000000001
239,3.257,2.8000000000000003,9.119600000000002
239,3.253,3.4000000000000004,11.060200000000002
239,3.253,2.6,8.4578
239,3.257,2.7,8.7939
239,3.253,3.2,10.409600000000001
239,3.257,2.7,8.7939
239,3.257,2.7,8.7939
239,3.257,2.7,8.7939
239,3.257,3.3000000000000003,10.7481
239,3.257,2.6,8.468200000000001
239,3.257,2.8000000000000003,9.119600000000002
239,3.257,3.2,10.422400000000001
239,3.253,2.7,8.783100000000001
239,3.253,2.7,8.783100000000001
239,3.253,2.7,8.783100000000001
239,3.257,3.0,9.771
239,3.253,2.8000000000000003,9.108400000000001
239,3.253,2.5,8.1325
239,3.257,3.4000000000000004,11.073800000000002
239,3.257,2.8000000000000003,9.119600000000002
239,3.257,2.4000000000000004,7.8168000000000015
239,3.253,2.9000000000000004,9.433700000000002
239,3.257,2.9000000000000004,9.445300000000001
239,3.257,2.7,8.7939
239,3.257,2.6,8.468200000000001
239,3.253,3.3000000000000003,10.734900000000001
239,3.257,2.7,8.7939
239,3.257,2.6,8.468200000000001
239,3.253,3.1,10.0843
239,3.257,2.6,8.468200000000001
239,3.253,2.7,8.783100000000001
239,3.257,2.8000000000000003,9.119600000000002
239,3.253,3.1,10.0843
239,3.257,2.8000000000000003,9.119600000000002
239,3.257,2.7,8.7939
239,3.257,3.0,9.771
239,3.257,2.6,8.468200000000001
239,3.253,2.9000000000000004,9.433700000000002
239,3.253,2.7,8.783100000000001
239,3.257,2.8000000000000003,9.119600000000002
239,3.257,2.5,8.1425
239,3.253,2.6,8.4578
239,3.253,3.1,10.0843
239,3.257,2.8000000000000003,9.119600000000002
239,3.253,2.8000000000000003,9.108400000000001
239,3.253,3.1,10.0843
239,3.253,2.7,8.783100000000001
239,3.253,2.6,8.4578
239,3.257,2.7,8.7939
